normal_image src,hover_image src,heart src,productGalleryOverride src,productGalleryOverride src 2,productGalleryOverride src 3,lazy_href,lazy_href href,part_number 2,title,key_details,key_details 2,key_details 3,key_details 4,price,save,percent-box,final-price,ships,text 3,key_details 5,key_details 6,key_details 7,key_details 8,bv_main_container href,bv_stars_svg_no_wrap href,bv_text,bv_text 2,key_details 12
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/0A36258/0A36258-560x450-01.8e5c67da9dbd77ff.png,,,,,,ThinkPad 65W AC Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/0A36258,0A36258,Key Details,System building block accessory,Performs to the same specifications as the standard AC adapter that ships with the notebooks,Energy efficient with Energy Star V (ES 2.0),System building block accessory,,,,$59.99,Ships FREE in 4-7 business days,$1,Performs to the same specifications as the standard AC adapter that ships with the notebooks,Energy efficient with Energy Star V (ES 2.0),Compatible with 2013 Lenovo notebooks with rectangular “slim tip” common power plug,"Not compatible with legacy notebook systems with the round, barrel-type power plug",https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/0A36258,[object Object],4.4,(138),Compatible with 2013 Lenovo notebooks with rectangular “slim tip” common power plug
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GX20Z46256/GX20Z46256-560x450-01.596df7ba71f7166f.png,,,,,,Lenovo Slim USB-C 65W AC Adapter(UL),https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20Z46256,GX20Z46256,Key Details,"Portable and slim design, 30% size reduction, designed with cable management","65W power charging, Smart Voltage with PD3.0 technology","Tested and reliable: tested, reliable and backed by a one-year limited warranty","Portable and slim design, 30% size reduction, designed with cable management",$59.99,save $22.00,36% off,$37.99,"Ships FREE by Thu, Oct 14",$1,"65W power charging, Smart Voltage with PD3.0 technology","Tested and reliable: tested, reliable and backed by a one-year limited warranty",,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20Z46256,[object Object],4.7,(40),
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X20E75111/4X20E75111-560x450-01.3fa86b206bc3011a.png,,,,,,ThinkPad 230W AC Adapter Slim Tip,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20E75111,4X20E75111,Key Details,Compatible with all Lenovo laptops with the rectangular “slim-tip” common power plug,Compact design,1 year warranty,Compatible with all Lenovo laptops with the rectangular “slim-tip” common power plug,,,,$154.99,Ships in 4+ months,$4,Compact design,1 year warranty,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20E75111,[object Object],4.2,(33),
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/40AK0065WW/40AK0065WW-560x450-01.ab841cf1425d8d70.png,https://p4-ofp.static.pub/ShareResource/560x450/SSNP/40AK0065WW/40AK0065WW-560x450-02.88aefb164a1482f0.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo 65W USB-C DC Travel Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/40AK0065WW,40AK0065WW,Key Details,Refuel your laptop or mobile device via USB-C,"Plug in auto outlet, will both power your Lenovo/ThinkPad NB as well as charge its battery",65W power enables rapid charging on ThinkPad X1 family,Refuel your laptop or mobile device via USB-C,,,,$59.99,Ships FREE in 4-7 business days,$1,"Plug in auto outlet, will both power your Lenovo/ThinkPad NB as well as charge its battery",65W power enables rapid charging on ThinkPad X1 family,"Compliance with PD 3.0/ Power profile includes 5V, 9V, 15V, 20V,suitable to charge NB, tablet and Phones",Backward compatible with PD2.0,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/40AK0065WW,[object Object],4.4,(77),"Compliance with PD 3.0/ Power profile includes 5V, 9V, 15V, 20V,suitable to charge NB, tablet and Phones"
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X20E50558/4X20E50558-560x450-01.51f7fcf6367dfb72.png,,,,,,ThinkPad 135W AC Adapter Slim Tip,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20E50558,4X20E50558,Key Details,Performs to the same specifications as the standard AC adapter that ships with the ThinkPad laptops,Energy efficient with Energy Star V (ES 2.0),Compatible with ThinkPad laptops with rectangular “slim tip” common power plug,Performs to the same specifications as the standard AC adapter that ships with the ThinkPad laptops,,,,$109.99,Ships FREE in 4-7 business days,$3,Energy efficient with Energy Star V (ES 2.0),Compatible with ThinkPad laptops with rectangular “slim tip” common power plug,"Not compatible with ThinkPad laptops with the round, barrel-type power plug",,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20E50558,[object Object],4.5,(67),"Not compatible with ThinkPad laptops with the round, barrel-type power plug"
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X20S56697/4X20S56697-560x450-01.97845b6e00dce24c.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X20S56697/4X20S56697-560x450-02.36e540c32a6d36dc.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkPad Mobile Workstation Slim 170W AC Adapter (Slim-tip),https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20S56697,4X20S56697,Key Details,The ThinkPad 170W Slim AC adapter is the new adapter with slim and small design. It is your perfect replacement or spare power adapter for your ThinkPad Mobile Workstation machines.,"To check if the charger is compatible with your system,",CLICK HERE,The ThinkPad 170W Slim AC adapter is the new adapter with slim and small design. It is your perfect replacement or spare power adapter for your ThinkPad Mobile Workstation machines.,,,,$134.99,Ships in 4+ months,$4,"To check if the charger is compatible with your system,",CLICK HERE,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20S56697,[object Object],4.1,(14),
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X20Q88539/4X20Q88539-560x450-01.855bb56a93b57d42.png,https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X20Q88539/4X20Q88539-560x450-02.8f34494ddf23cbbe.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo Slim 135W AC Adapter(slim tip)-US/Can/Mexico,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20Q88539,4X20Q88539,Key Details,"The Lenovo Slim 135W AC Adapter (Slim tip) offers fast, efficient charging at home, in the office, or on the go for your Think PCs. It is perfect for use as a spare or replacement adapter.  The Lenovo Slim 135W AC Adapter (Slim tip) is compact, energy efficient and backed by a 1 year warranty.",,,"The Lenovo Slim 135W AC Adapter (Slim tip) offers fast, efficient charging at home, in the office, or on the go for your Think PCs. It is perfect for use as a spare or replacement adapter.  The Lenovo Slim 135W AC Adapter (Slim tip) is compact, energy efficient and backed by a 1 year warranty.",,,,$119.99,Ships FREE in 4-7 business days,$3,,,,,,,,,
https://p3-ofp.static.pub/fes/cms/2021/08/27/g0ia6mfn0wwc40p1weszynqzoaxhhu908482.png,,,,,,Lenovo 45W Round Tip Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20L23044,GX20L23044,Key Details,"Stable, adequate, reliable power supply",,,"Stable, adequate, reliable power supply",$39.99,save $8.00,20% off,$31.99,"Ships FREE by Thu, Oct 14",$0.96,,,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20L23044,[object Object],4.6,(45),
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X20E50574/4X20E50574-560x450-01.e67af2c9a1870d86.png,,,,,,ThinkPad 170W AC Adapter Slim Tip,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20E50574,4X20E50574,Key Details,Ideal as a spare charger,Slim tip (rectangular),1 year warranty,Ideal as a spare charger,,,,$129.99,Ships in 4+ months,$3,Slim tip (rectangular),1 year warranty,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20E50574,[object Object],4.1,(54),
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/888014197/888014197-560x450-01.fdb598f27dedbfce.png,,,,,,Lenovo 45W Slim Port AC Adapter(UL-SDC),https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/888014197,888014197,Key Details,"stable, adequate and reliable power supplying",,,"stable, adequate and reliable power supplying",$39.99,save $12.00,30% off,$27.99,"Ships FREE by Thu, Oct 14",$0.84,,,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/888014197,[object Object],4.4,(23),
