normal_image src,hover_image src,heart src,productGalleryOverride src,productGalleryOverride src 2,productGalleryOverride src 3,lazy_href,lazy_href href,part_number 2,key_details,key_details 2,key_details 3,key_details 4,key_details 5,price,save,percent-box,final-price,ships,text 3,bv_main_container href,bv_stars_svg_no_wrap href,bv_text,bv_text 2,key_details 6,key_details 7,key_details 11
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/GX80T09109/GX80T09109-560x450-01.4d35566d81984fe8.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/GX80T09109/GX80T09109-560x450-02.9f67f14fbcbd61ea.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo Integrated Pen for Yoga C930 Mica,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/GX80T09109,GX80T09109,Diameter 6.5mm,4096 levels of pressure sensitivity,Rapid charge 15s for 80% and 5 minutes for 100% charge,Up to 130 minutes active use for one full charge,Integrated storage and charging in Lenovo Yoga C930,$54.99,save $25.00,45% off,$29.99,"Ships FREE by Thu, Oct 14",$0.90,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/GX80T09109,[object Object],4.1,(31),Diameter 6.5mm,4096 levels of pressure sensitivity,
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X80U90632/4X80U90632-560x450-01.0102997a9f55ab19.png,https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X80U90632/4X80U90632-560x450-02.8490509f4117c30e.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkPad Pen Pro – 6,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80U90632,4X80U90632,Diameter: 6.5mm,Up to 4096 levels of pressure sensitivity,Rapid charge 15s for 80% and 5 minutes for 100% charge,Up to 130 minutes active use for one full charge,Integrated storage and charging in notebook,$44.99,save $7.00,15% off,$37.99,Ships FREE in 4-7 business days,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80U90632,[object Object],4.0,(16),Diameter: 6.5mm,Up to 4096 levels of pressure sensitivity,
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X80K32539/4X80K32539-560x450-01.1c33402d80d74fd2.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X80K32539/4X80K32539-560x450-02.42b23d43667ca538.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkPad Pen Pro (X1 Yoga),https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80K32539,4X80K32539,6.5mm in diameter,Pressure sensitivity: 2048 levels,Rechargeable battery inside for fast charge,Compatible with X1 Yoga 1st & 2nd Generation,Could also be stored and charged in a ThinkPad system,,,,$44.99,Ships FREE in 4-7 business days,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80K32539,[object Object],4.1,(66),6.5mm in diameter,Pressure sensitivity: 2048 levels,
https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X80T77999/4X80T77999-560x450-01.7b0cc1c22c17f73e.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/4X80T77999/4X80T77999-560x450-02.c46f7ad2e2529b60.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo Integrated Pen for 2nd Gen 300e Windows,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80T77999,4X80T77999,Diameter 6.5mm,Up to 4096 levels of pressure sensitivity,Rapid charge 15s for 80% and 5 minutes for 100% charge,Up to 130 minutes active use for one full charge,Integrated storage and charging in Lenovo 300e Windows,$39.99,save $6.00,15% off,$33.99,Ships FREE in 4-7 business days,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80T77999,[object Object],4.4,(14),Diameter 6.5mm,Up to 4096 levels of pressure sensitivity,
https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X80H34887/4X80H34887-560x450-01.4f317d3805da023d.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X80H34887/4X80H34887-560x450-02.f931bb2d234b2f9b.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo ThinkPad Pen Pro,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80H34887,4X80H34887,Up to 4096 levels of pressure sensitivity,Powered by an AAAA battery,Comfortable and realistic writing experience with a friction tip,Eraser Functionality,Fast and accurate input,$44.99,save $8.00,17% off,$36.99,Ships in 2+ months,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80H34887,[object Object],3.5,(79),Up to 4096 levels of pressure sensitivity,Powered by an AAAA battery,"Thin, lightweight design"
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X80U90631/4X80U90631-560x450-01.11fc2a2738bba611.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X80U90631/4X80U90631-560x450-02.1cb3ce56f2933108.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkPad Pen Pro – 7,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80U90631,4X80U90631,Diameter: 6.5mm,Up to 4096 levels of pressure sensitivity,Rapid charge 15s for 80% and 5 minutes for 100% charge,Up to 130 minutes active use for one full charge,Integrated storage and charging in notebook,$44.99,save $7.00,15% off,$37.99,Ships FREE in 4-7 business days,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80U90631,[object Object],4.2,(6),Diameter: 6.5mm,Up to 4096 levels of pressure sensitivity,
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GX80T09108/GX80T09108-560x450-01.deef2487288ada78.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GX80T09108/GX80T09108-560x450-02.29a175eb39b1906a.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo Integrated Pen for Yoga C930 Iron Grey,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/GX80T09108,GX80T09108,Diameter 6.5mm,4096 levels of pressure sensitivity,Rapid charge 15s for 80% and 5 minutes for 100% charge,Up to 130 minutes active use for one full charge,Integrated storage and charging in Lenovo Yoga C930,$54.99,save $25.00,45% off,$29.99,"Ships FREE by Thu, Oct 14",$0.90,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/GX80T09108,[object Object],4.1,(47),Diameter 6.5mm,4096 levels of pressure sensitivity,
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X80K32538/4X80K32538-560x450-01.b268a22b8b78e12d.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X80K32538/4X80K32538-560x450-02.7620af680ad3617c.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkPad Pen Pro (Yoga260 & 370),https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80K32538,4X80K32538,6.5mm in diameter,Pressure sensitivity: 2048 levels,Rechargeable battery inside for fast charge,Compatible with Yoga 260 & Yoga 370,Could also be stored and charged in a ThinkPad system,,,,$44.99,Ships FREE in 4-7 business days,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80K32538,[object Object],4.7,(24),6.5mm in diameter,Pressure sensitivity: 2048 levels,
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/4X81B07782/4X81B07782-560x450-01.47796f7b173bf99e.png,,,,,,Lenovo Mod Pen,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X81B07782,4X81B07782,Two side barrel buttons that are customizable via Lenovo Pen App,"Up to 4,096 levels of pressure sensitivity",Up to 60°tilting sensing from the screen,Removable cap to expose USB-C charging port,Weight<18g and hexagon design,$99.99,save $16.00,16% off,$83.99,Ships FREE in 4-7 business days,$2,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X81B07782,[object Object],4.9,(10),Two side barrel buttons that are customizable via Lenovo Pen App,"Up to 4,096 levels of pressure sensitivity",Dual-color LED indicator
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X80R38451/4X80R38451-560x450-01.18fdbbef7ccfa552.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/4X80R38451/4X80R38451-560x450-02.da910b0a55686dfe.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkPad Pen Pro for ThinkPad 11e Yoga,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80R38451,4X80R38451,Diameter: 6.5mm,Up to 4096 levels of pressure sensitivity,Rapid charge 15s for 80% and 5 minutes for 100% charge,Up to 130 minutes active use for one full charge,Integrated storage and charging in notebook,,,,$39.99,Ships FREE in 1-2 weeks,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80R38451,[object Object],3.7,(20),Diameter: 6.5mm,Up to 4096 levels of pressure sensitivity,
https://p3-ofp.static.pub/ShareResource/SSNP/4X81C68706/4X81C68706-500x400-01.48f7eebb55bad843.png,https://p3-ofp.static.pub/ShareResource/SSNP/4X81C68706/4X81C68706-500x400-02.fc5ce8aebe918f2b.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo Rechargeable USI Pen for C13 Yoga,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X81C68706,4X81C68706,"The Lenovo Rechargeable USI Pen for C13 Yoga is an ideal input solution giving users 4096 levels of pressure for precise content creation. This pen is unique to the Yoga C13 and it can be stored in the notebook pen slot made specifically for it. While being stored, the pen will be recharged and allow users to enjoy an up to 396 minutes (active use) of battery life of a single full charge.","The Lenovo Rechargeable USI Pen for C13 Yoga is an ideal input solution giving users 4096 levels of pressure for precise content creation. This pen is unique to the Yoga C13 and it can be stored in the notebook pen slot made specifically for it. While being stored, the pen will be recharged and allow users to enjoy an up to 396 minutes (active use) of battery life of a single full charge.",,,,$44.99,save $10.00,22% off,$34.99,Ships FREE in 4-7 business days,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X81C68706,[object Object],3.0,(3),,,
https://p4-ofp.static.pub/fes/cms/2021/08/11/nfy5bkvs1l8as4g84t0sszr480e895130274.png,https://p2-ofp.static.pub/fes/cms/2021/08/11/yu3rjbdoe8lt963slsrnaw275zvs3f522366.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkPad Pen Pro-10 for X1 Yoga Gen 6,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X81C96610,4X81C96610,"Diameter: 5.3mm, length : 111.5mm",Up to 4096 levels of pressure sensitivity,"Battery operating life 18,000hours","Rapid charge 15s for more than 30mins continuous use, and 5 minutes for max 1hour use",Integrated storage and charging in notebook,,,,$44.99,Ships FREE in 4-7 business days,$1,,,,,"Diameter: 5.3mm, length : 111.5mm",Up to 4096 levels of pressure sensitivity,Protocol AES 1.0
https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X80Z50965/4X80Z50965-560x450-01.a700366865171c37.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/4X80Z50965/4X80Z50965-560x450-02.72c22e7c4fcd1ccb.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo Precision Pen,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80Z50965,4X80Z50965,With Bluetooth connectivity,"Natural sketching writing and painting, tilt sensing, 4096 levels of pressure sensitivity, cone shape pen tip and zero stroke, all designed for natural writing, effective sketching and painting with no lag","Along with a 400 days battery life based on the test Active use 3hrs/day, Sleep 21hrs/day, Use 5 days/week",Tail button click 10 times/day,"Take a short-cut in your work, seamlessly switch between different applications with one of three configurable sho",$69.99,save $11.00,15% off,$58.99,Ships FREE in 4-7 business days,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80Z50965,[object Object],3.8,(37),With Bluetooth connectivity,"Natural sketching writing and painting, tilt sensing, 4096 levels of pressure sensitivity, cone shape pen tip and zero stroke, all designed for natural writing, effective sketching and painting with no lag",
https://p3-ofp.static.pub/fes/cms/2021/07/20/tfza47iava8x0f01toi3h0qxadxb6g536550.png,https://p3-ofp.static.pub/fes/cms/2021/07/20/3mjo33hevmwndn9bj5coo9t68fdf3z090996.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo E -Color Pen,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/GX81B10210,GX81B10210,Bluetooth 5.0 connectivity,Two side barrel buttons and one tail button that are customizable via Lenovo Pen App,"Up to 4,096 levels of pressure sensitivity","Easy for color capture on objective & web/document, compatible with Adobe Suite &Wacom Bamboo Paper",Up to 15 days use as one time full charge,$99.99,save $30.00,30% off,$69.99,"Ships FREE by Thu, Oct 14",$2,,,,,Bluetooth 5.0 connectivity,Two side barrel buttons and one tail button that are customizable via Lenovo Pen App,Removable cap to expose USB-C charging port
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X80J67430/4X80J67430-560x450-01.9cae4f4b1d579edc.png,,,,,,Lenovo ThinkPad Pen holder (pack of 5),https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pen-Holders/4X80J67430,4X80J67430,"Keeps the pen close to the system, ready for usePen can be inserted in two directions, vertically to grab it immediately when using and horizontally for safe keeping and transportationAttaches to the system in a USB port",,,,,,,,$16.99,Ships in 2+ months,$0.51,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pen-Holders/4X80J67430,[object Object],3.7,(23),"Keeps the pen close to the system, ready for usePen can be inserted in two directions, vertically to grab it immediately when using and horizontally for safe keeping and transportationAttaches to the system in a USB port",,
https://p2-ofp.static.pub/ShareResource/SSNP/4X81B32809/4X81B32809-500x400-01.a0e59a8656ea1c4c.png,https://p2-ofp.static.pub/ShareResource/SSNP/4X81B32809/4X81B32809-500x400-02.de5e2c4ad310ef24.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkBook Yoga Integrated Smart Pen,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X81B32809,4X81B32809,Diameter: 5.3mm,Up to 4096 levels of pressure sensitivity,Rapid charge 15s for 85% and 5 minutes for 100% charge,Up to 42 minutes active use for one full charge,Integrated storage and charging in notebook,$49.99,save $8.00,16% off,$41.99,Ships FREE in 4-7 business days,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X81B32809,[object Object],4.0,(3),Diameter: 5.3mm,Up to 4096 levels of pressure sensitivity,
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GX80U45007/GX80U45007-560x450-01.ec4eaf3394a85bbd.png,,,,,,Lenovo Pen,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/GX80U45007,GX80U45007,Diameter 9.5mm,Paper Like Writing,Anti-Accident Clicks,1024 levels of pressure sensitivity,Compatible with notebooks with Qualcomm Snapdragon™ Compute Platform,$54.99,save $25.00,45% off,$29.99,"Ships FREE by Thu, Oct 14",$0.90,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/GX80U45007,[object Object],3.0,(52),Diameter 9.5mm,Paper Like Writing,
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X80R07945/4X80R07945-560x450-01.d1791bbdff0805e1.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/4X80R07945/4X80R07945-560x450-02.630ba3068ad52c44.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkPad Pen Pro for L380 Yoga,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80R07945,4X80R07945,Diameter: 6.5mm,Up to 4096 levels of pressure sensitivity,Rapid charge 15s for 80% and 5 minutes for 100% charge,Up to 130 minutes active use for one full charge,Integrated storage and charging in notebook,,,,$39.99,Ships in 4+ months,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80R07945,[object Object],4.0,(10),Diameter: 6.5mm,Up to 4096 levels of pressure sensitivity,
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X80K32537/4X80K32537-560x450-01.d549285facd97a0a.png,,,,,,ThinkPad Pen Pro (Yoga460 | P40),https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80K32537,4X80K32537,6.5mm in diameter,Pressure sensitivity: 2048 levels,Rechargeable battery inside for fast charge,Compatible with Yoga 460 & Yoga P40,Could also be stored and charged in a ThinkPad system,,,,$44.99,Ships FREE in 4-7 business days,$1,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X80K32537,[object Object],3.5,(13),6.5mm in diameter,Pressure sensitivity: 2048 levels,
https://p2-ofp.static.pub/fes/cms/2021/09/21/81bwdv8ns73qlxt9fw3fx1v3yvu3yz764730.png,https://p3-ofp.static.pub/fes/cms/2021/09/21/frn4lq03qu3if6tauc75f449tvw846435088.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo Integrated Pen for 300e/500e Gen 3 (Windows),https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X81D34328,4X81D34328,Diameter: 5.3mm,Wacom AES 1.0,Up to 4096 levels of pressure sensitivity,Rapid charge 15s for 85% and 5 minutes for 100% charge,Up to 42 minutes active use for one single fully charge,,,,$39.99,Ships FREE in 4-7 business days,$1,,,,,Diameter: 5.3mm,Wacom AES 1.0,Integrated storage and charging in notebook
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X81D34328/4X81D34327-560x450-01.f29520e6c42f4d2f.png,https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X81D34328/4X81D34327-560x450-02.4092945252aa1c8e.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo Rechargeable USI Pen for 300e/500e Chromebook gen 3,https://www.lenovo.com/us/en/p/accessories-and-software/stylus-pens-and-supplies/Stylus-Pens-&-Supplies_Pens/4X81D34327,4X81D34327,Diameter: 5.5mm,USI protocol supported Chrome OS,Up to 4096 levels of pressure sensitivity,Rapid charge 60s for 95% and 4 minutes for 100% charge at 150mA charge current,Up to 40 minutes active use for one single fully charge,,,,$44.99,Ships FREE in 4-7 business days,$1,,,,,Diameter: 5.5mm,USI protocol supported Chrome OS,Integrated storage and charging in Chromebook
