web-scraper-order,web-scraper-start-url,nnn,ppp
"1635232324-22700","https://colemanfurniture.com/accents/decor/poufs.htm","Valda Gray Wool Pouf","$239.80"
"1635232324-22698","https://colemanfurniture.com/accents/decor/poufs.htm","Valda Linen Wool Pouf","$239.80"
"1635232324-22749","https://colemanfurniture.com/accents/decor/poufs.htm","Realisa Grey Wooven Pouffe","$199.00"
"1635232324-22725","https://colemanfurniture.com/accents/decor/poufs.htm","Pincushion Green Woven Pouffe","$129.00"
"1635232324-22745","https://colemanfurniture.com/accents/decor/poufs.htm","Willow Clay Jute Jute Knit Pouf","$329.00"
"1635232324-22727","https://colemanfurniture.com/accents/decor/poufs.htm","Pouf85418Sq Sunset Oasis Square Pouf","$150.00"
"1635232324-22741","https://colemanfurniture.com/accents/decor/poufs.htm","Pincushion Beige Woven Pouffe","$129.00"
"1635232324-22767","https://colemanfurniture.com/accents/decor/poufs.htm","XU-1016-05 Brown Spotted Goat Fur Pouf","$415.00"
"1635232324-22748","https://colemanfurniture.com/accents/decor/poufs.htm","Pouf86218Sq Ivory Chevron Cable Square Pouf","$150.00"
"1635232324-22739","https://colemanfurniture.com/accents/decor/poufs.htm","Pincushion Pink Woven Pouffe","$129.00"
"1635232324-22737","https://colemanfurniture.com/accents/decor/poufs.htm","Love Joy Bliss Pink And Soft Gold Metal Bliss Pouf","$530.00"
"1635232324-22720","https://colemanfurniture.com/accents/decor/poufs.htm","Pincushion Yellow Woven Pouffe","$139.00"
"1635232324-22760","https://colemanfurniture.com/accents/decor/poufs.htm","Brixton Grey Pouf","$817.50"
"1635232324-22772","https://colemanfurniture.com/accents/decor/poufs.htm","Hidden Treasures Brown Leather Yasmeen Round Pouf","$520.00"
"1635232324-22715","https://colemanfurniture.com/accents/decor/poufs.htm","Berkeley Navy Interlocking Squares Pouffe","$239.00"
"1635232324-22688","https://colemanfurniture.com/accents/decor/poufs.htm","Absalom Natural Pouf","$99.00"
"1635232324-22702","https://colemanfurniture.com/accents/decor/poufs.htm","Moriah Black Pouf","$79.00"
"1635232324-22726","https://colemanfurniture.com/accents/decor/poufs.htm","Victorian White And Gold Spots Pouffe","$369.00"
"1635232324-22722","https://colemanfurniture.com/accents/decor/poufs.htm","Pincushion Gray Woven Pouffe","$129.00"
"1635232324-22758","https://colemanfurniture.com/accents/decor/poufs.htm","Butler Loft Borrego Canvas & Acrylic Pouffe Ottoman","$209.00"
"1635232324-22690","https://colemanfurniture.com/accents/decor/poufs.htm","Mabyn Gray Pouf","$109.00"
"1635232324-22764","https://colemanfurniture.com/accents/decor/poufs.htm","EZ Style Saddle Leather Square Pouf","$165.00"
"1635232324-22711","https://colemanfurniture.com/accents/decor/poufs.htm","Hidden Treasures Brown Leather Marrakesh Round Pouf","$315.00"
"1635232324-22687","https://colemanfurniture.com/accents/decor/poufs.htm","Adelphie Natural and Gray Pouf","$119.00"
"1635232324-22697","https://colemanfurniture.com/accents/decor/poufs.htm","Berkeley Navy Interlocking Squares Pouffe","$239.00"
"1635232324-22751","https://colemanfurniture.com/accents/decor/poufs.htm","Bronya Grey Pouf","$425.00"
"1635232324-22730","https://colemanfurniture.com/accents/decor/poufs.htm","Hazel Gray Square Pouf","$145.00"
"1635232324-22703","https://colemanfurniture.com/accents/decor/poufs.htm","Matson Natural and Blue Pouf","$89.00"
"1635232324-22723","https://colemanfurniture.com/accents/decor/poufs.htm","Aqua Multi Viscose Pouf","$178.00"
"1635232324-22761","https://colemanfurniture.com/accents/decor/poufs.htm","EZ Style Saddle Leather Round Pouf","$185.00"
"1635232324-22756","https://colemanfurniture.com/accents/decor/poufs.htm","Lamb Black Fur Pouf","$615.00"
"1635232324-22768","https://colemanfurniture.com/accents/decor/poufs.htm","Fernandos Beige Diamond Wooven Pouffe","$149.00"
"1635232324-22704","https://colemanfurniture.com/accents/decor/poufs.htm","Latricia Charcoal Pouf","$89.00"
"1635232324-22762","https://colemanfurniture.com/accents/decor/poufs.htm","Samson Grey Canvas And Black Leather Pouf","$145.00"
