web-scraper-order,web-scraper-start-url,name,price
"1634801355-15019","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Balance White And Coral Personal Performance Extra Firm Pillow","$119.00"
"1634801355-15005","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Protocal Mink 22"" Square Pillow","$39.00"
"1634801355-14996","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Pulse White And Blue Personal Performance Firm Pillow","$89.00"
"1634801355-14987","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Waman Charcoal Bed Pillow Set of 4","$89.00"
"1634801355-14989","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Z123 Pillow Series White Cotton Allergy Pillow Set Of 4","$109.00"
"1634801355-15023","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Flow Gray And Blue Personal Performance Ultra Plush Pillow","$159.00"
"1634801355-15015","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Glacier White Personal Performance Plush Pillow","$179.00"
"1634801355-15029","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Faux Fur Peacock Charcoal Pillow","$135.00"
"1634801355-15022","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Flow Gray And Blue Personal Performance Firm Pillow","$159.00"
"1634801355-14985","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Promotional White Memory Foam Pillow Set of 10","$199.00"
"1634801355-15028","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Jonquille Gel Infused Memory Foam Pillow","$145.00"
"1634801355-15001","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Flow Gray And Blue Personal Performance Extra Firm Pillow","$159.00"
"1634801355-14988","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Bedgear White Personal Performance High Pillow","$69.00"
"1634801355-15010","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Storm White Personal Performance Extra Firm Pillow","$179.00"
"1634801355-15008","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Bedgear Grey And Lime Personal Performance Multi Pillow","$99.00"
"1634801355-15011","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Balance White And Green Personal Performance Ultra Plush Pillow","$119.00"
"1634801355-15003","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Bedgear White Personal Performance Low Pillow","$69.00"
"1634801355-15027","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Faux Fur Mongolian Dove Pillow","$129.00"
"1634801355-15002","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Cosmo Grey Personal Performance Firm Pillow","$199.00"
"1634801355-15024","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Flow Gray And Blue Personal Performance Plush Pillow","$159.00"
"1634801355-15021","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Level White And Green Personal Performance Ultra Plush Pillow","$129.00"
"1634801355-15020","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Linea White And Blue Personal Performance Plush Pillow","$89.00"
"1634801355-14991","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Level White And Blue Personal Performance Firm Pillow","$129.00"
"1634801355-15018","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Bedgear White Personal Performance Low Pillow","$69.00"
"1634801355-14993","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Cosmo Grey Personal Performance Plush Pillow","$199.00"
"1634801355-14997","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Pulse White And Blue Personal Performance Plush Pillow","$89.00"
"1634801355-15007","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Linea White And Blue Personal Performance Firm Pillow","$89.00"
"1634801355-15009","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Level White And Yellow Personal Performance Extra Firm Pillow","$129.00"
"1634801355-15014","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Glacier White Personal Performance Firm Pillow","$179.00"
"1634801355-15000","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Glacier White Personal Performance Ultra Plush Pillow","$179.00"
"1634801355-15012","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Marley OTM 22"" Square Pillow","$45.00"
"1634801355-15026","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Faux Fur Wolf Tan Pillow","$135.00"
"1634801355-14984","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Z123 Pillow Series White Total Solution Pillow Set Of 4","$219.00"
"1634801355-14995","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Cosmo Grey Personal Performance Ultra Plush Pillow","$199.00"
"1634801355-15013","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Linea White And Blue Personal Performance Ultra Plush Pillow","$89.00"
"1634801355-15030","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Faux Fur Patchwork Cream Pillow","$135.00"
"1634801355-14994","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Pulse White And Blue Personal Performance Extra Firm Pillow","$89.00"
"1634801355-15016","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Glacier White Personal Performance Ultra Plush Pillow","$179.00"
"1634801355-14999","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Glacier White Personal Performance Plush Pillow","$179.00"
"1634801355-15004","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Balance White And Coral Personal Performance Extra Firm Pillow","$119.00"
"1634801355-15025","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Flow Gray And Blue Personal Performance Extra Firm Pillow","$159.00"
"1634801355-15006","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Flow Gray And Blue Personal Performance Ultra Plush Pillow","$159.00"
"1634801355-14992","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Z123 Pillow Series White Soft Microfiber Pillow Set Of 10","$139.00"
"1634801355-14986","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Glacier White Personal Performance Extra Firm Pillow","$179.00"
"1634801355-15017","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Cosmo Grey Personal Performance Firm Pillow","$199.00"
"1634801355-14998","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Glacier White Personal Performance Firm Pillow","$179.00"
"1634801355-14990","https://colemanfurniture.com/bedroom-furniture/mattress-foam-mattress/bed-pillows.htm","Flow Gray And Blue Personal Performance Plush Pillow","$159.00"
