web-scraper-order,web-scraper-start-url,nnn,ppp
"1635093900-1658","https://colemanfurniture.com/kids/kids-chests.htm","Hamilton/Franklin Cherry 5 Drawer Chest","$839.98"
"1635093900-1676","https://colemanfurniture.com/kids/kids-chests.htm","Flynn Acorn And White Chest","$1119.00"
"1635093900-1690","https://colemanfurniture.com/kids/kids-chests.htm","Riverwood Brown And White Washed Drawer Chest","$929.00"
"1635093900-1736","https://colemanfurniture.com/kids/kids-chests.htm","Potter White 4 Drawer Multifunction Chest","$1075.00"
"1635093900-1740","https://colemanfurniture.com/kids/kids-chests.htm","Edina Dary Gray Chest","$754.00"
"1635093900-1670","https://colemanfurniture.com/kids/kids-chests.htm","Hadley Rustic Brass Greta 5 Drawer Chest","$1199.00"
"1635093900-1672","https://colemanfurniture.com/kids/kids-chests.htm","Urban Quarters Black Chest","$926.00"
"1635093900-1632","https://colemanfurniture.com/kids/kids-chests.htm","Sidney Rustic Pine Chest","$640.00"
"1635093900-1617","https://colemanfurniture.com/kids/kids-chests.htm","Willow Distressed Dark Gray Chest","$805.00"
"1635093900-1604","https://colemanfurniture.com/kids/kids-chests.htm","Urbanite 3 Tone Gray Chest","$943.00"
"1635093900-1709","https://colemanfurniture.com/kids/kids-chests.htm","Tranquility White Small Chest","$689.00"
"1635093900-1751","https://colemanfurniture.com/kids/kids-chests.htm","Marlee White Chest","$859.00"
"1635093900-1755","https://colemanfurniture.com/kids/kids-chests.htm","Vestavia Antique Gray And Dark Brown Chest","$734.00"
"1635093900-1675","https://colemanfurniture.com/kids/kids-chests.htm","Brogan Brown Cherry Chest","$835.00"
"1635093900-1549","https://colemanfurniture.com/kids/kids-chests.htm","Lettner Light Gray 5 Drawer Chest","$849.00"
"1635093900-1702","https://colemanfurniture.com/kids/kids-chests.htm","Glamour Champagne Chest","$855.00"
"1635093900-1686","https://colemanfurniture.com/kids/kids-chests.htm","Allura Silver Chest","$935.00"
"1635093900-1623","https://colemanfurniture.com/kids/kids-chests.htm","Louis Philippe Cappuccino Chest","$655.00"
"1635093900-1571","https://colemanfurniture.com/kids/kids-chests.htm","Cambeck Whitewash Drawer Chest","$549.00"
"1635093900-1584","https://colemanfurniture.com/kids/kids-chests.htm","Leighton Mercury Metallic Chest","$844.00"
"1635093900-1728","https://colemanfurniture.com/kids/kids-chests.htm","Rowe Dark Cherry Chest","$714.00"
"1635093900-1721","https://colemanfurniture.com/kids/kids-chests.htm","West Haven Cappuccino 5 Drawer Tallboy Chest","$685.00"
"1635093900-1642","https://colemanfurniture.com/kids/kids-chests.htm","Mayville White Lingerie Chest","$704.00"
"1635093900-1661","https://colemanfurniture.com/kids/kids-chests.htm","Cottage Beach White 6 Drawer Chest","$1089.00"
"1635093900-1574","https://colemanfurniture.com/kids/kids-chests.htm","Culverbach Gray 5 Drawer Chest","$549.00"
"1635093900-1694","https://colemanfurniture.com/kids/kids-chests.htm","Louis Philippe Black Chest","$655.00"
"1635093900-1559","https://colemanfurniture.com/kids/kids-chests.htm","Willowton Two-tone 5 Drawer Chest","$589.00"
"1635093900-1640","https://colemanfurniture.com/kids/kids-chests.htm","Lennart Gray Chest","$959.00"
"1635093900-1664","https://colemanfurniture.com/kids/kids-chests.htm","Wellsummer Gray Chest","$834.00"
"1635093900-1577","https://colemanfurniture.com/kids/kids-chests.htm","Neilsville Whitewash Drawer Chest","$259.00"
"1635093900-1627","https://colemanfurniture.com/kids/kids-chests.htm","Lonan Rustic Chest","$754.00"
"1635093900-1754","https://colemanfurniture.com/kids/kids-chests.htm","Potter French Truffle 4 Drawer Multifunction Chest","$1035.00"
"1635093900-1636","https://colemanfurniture.com/kids/kids-chests.htm","Chatsworth Distressed Mint Chest","$839.00"
"1635093900-1557","https://colemanfurniture.com/kids/kids-chests.htm","Neilsville Multi Gray 3 Drawer Chest","$259.00"
"1635093900-1573","https://colemanfurniture.com/kids/kids-chests.htm","Cazenfeld Black and Gray Five Drawer Chest","$549.00"
"1635093900-1716","https://colemanfurniture.com/kids/kids-chests.htm","Madison Gray Chest","$709.00"
"1635093900-1563","https://colemanfurniture.com/kids/kids-chests.htm","Drystan Brown Rustic Narrow Chest","$509.00"
