web-scraper-order,web-scraper-start-url,name,price,price2
"1634783043-457","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Sephina Antique Gray Rattan Queen Headboard","$615.00","null"
"1634783043-219","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Harlow Gray Full Headboard","$789.00","null"
"1634783043-18","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Skyler Gray King Headboard","$675.00","null"
"1634783043-29","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Chloe Grey Velvet Queen Headboard","$309.00","null"
"1634783043-58","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","6012Q White Queen Size Headboard","$229.00","null"
"1634783043-472","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","300-A124-250-109 Stone Gray Brooklyn Upholstered Full/Queen Headboard","$319.00","On Sale$319.00"
"1634783043-113","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Sapphire Taupe Tufted Linen King Headboard","$675.00","null"
"1634783043-297","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Sapphire White Tufted Velvet Twin Headboard","$315.00","null"
"1634783043-417","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Herstal Green Full/Queen Size Headboard","$319.00","null"
"1634783043-307","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Ila Mahogany Mahogany Full Headboard","$619.00","null"
"1634783043-140","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Velvet Shmer Nailhead Shaped Queen Upholstered Headboard","$295.00","On Sale$295.00"
"1634783043-440","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Potter White King Headboard","$729.00","null"
"1634783043-308","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Baker Mahogany King Headboard Only","$735.00","null"
"1634783043-157","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Ashford Dixon Bristol Charcoal Queen Headboard","$749.00","null"
"1634783043-251","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Connie Dusty Rose And White Twin Headboard","$305.00","null"
