web-scraper-order,web-scraper-start-url,name,price
"1634795928-12473","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Lauren Brushed Brown Acacia Media Chest","$958.00"
"1634795928-12417","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Solana Brown Eight Drawer Media Chest","$3119.00"
"1634795928-12474","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Tinley Park Dove Tail Grey Media Chest","$1379.00"
"1634795928-12390","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Rhianna Silver Patina Media Chest","$1339.00"
"1634795928-12498","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Grandom Cherry Media Chest","$1339.00"
"1634795928-12402","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Wolf Creek Vintage Acacia 6 Drawer Media Chest","$1405.00"
"1634795928-12414","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Fulton Two Tone Media Chest","$1539.00"
"1634795928-12494","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Ashby Media Chest","$1165.00"
"1634795928-12484","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Riverwalk Aged Oak Media Chest","$1049.00"
"1634795928-12401","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Meghan Espresso Media Chest","$967.00"
"1634795928-12485","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Simply Charming Warm Weathered Grey Media Chest","$1275.00"
"1634795928-12396","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Brushed Gray Mahogany Media Chest","$1538.00"
"1634795928-12483","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Kentwood Media Chest","$1215.00"
"1634795928-12411","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Calistoga Media Chest","$1345.00"
"1634795928-12393","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Genevieve Distressed Walnut Media Chest","$909.00"
"1634795928-12372","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Summer House Oyster White Media Chest","$765.00"
"1634795928-12387","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Editor Distressed Sepia And Sienna Media Chest","$895.00"
"1634795928-12438","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Carriage Court Media Chest","$775.00"
"1634795928-12376","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Cumberland Brown Cherry TV Chest","$829.00"
"1634795928-12495","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Austin Chestnut 4 Drawer TV Media Chest","$829.00"
"1634795928-12500","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Cydney High Gloss Cream Media Chest","$1385.00"
"1634795928-12395","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Sedona Cobblestone White Media Chest","$1049.00"
"1634795928-12397","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Omnus Cherry Media Chest","$765.00"
"1634795928-12435","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Omnus Oak Media Chest","$909.00"
"1634795928-12449","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Jenna White Media Chest","$445.00"
"1634795928-12385","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Meghan Espresso Media Chest","$967.00"
"1634795928-12439","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Trestlewood Distressed Mesquite Pine Media Chest","$839.00"
"1634795928-12425","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Strasburg Rustic Brown Media Chest","$909.00"
"1634795928-12371","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Magnolia Manor Antique White Media Chest","$1129.00"
"1634795928-12460","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Bronwyn Alabaster Media Chest","$1379.00"
"1634795928-12504","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Oak Park Brushed Pewter 5 Drawer Media Chest","$1479.00"
"1634795928-12420","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Willow Distressed White Media Chest","$749.00"
"1634795928-12461","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Conley Charcoal Media Chest","$935.00"
"1634795928-12457","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Regency Park Pearlized Silver Media Chest","$1098.00"
"1634795928-12459","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Wakefield Rattan Grass Cloth Media Chest","$1188.00"
"1634795928-12394","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Tamarack Black Media Chest","$926.00"
"1634795928-12463","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Reno Mink Coat Media Chest","$855.00"
"1634795928-12493","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Paxton Place Dovetail Grey 4 Drawer Media Chest","$1215.00"
"1634795928-12486","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Starlite Silver Media Chest","$1740.00"
"1634795928-12465","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Syracuse Dark Walnut Media Chest","$1099.00"
"1634795928-12501","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Tuscan II Glossy Dark Pine Media Chest","$1145.00"
"1634795928-12452","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Morrissey Bezel Collen Media Chest","$1815.00"
"1634795928-12433","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Raelynn Weathered White Media Chest","$1035.00"
"1634795928-12499","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Westley Falls Graphite Media Chest","$1215.00"
"1634795928-12392","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Kingsbury Brown 10 Drawer Media Bureau","$1455.00"
"1634795928-12437","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Calliope Espresso Media Chest","$1029.00"
"1634795928-12472","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Caroline Antique White 2 Drawer Media Chest With Media Compartment","$935.00"
"1634795928-12375","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Bethesda Espresso Media Chest","$959.00"
"1634795928-12492","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Deryn Park Cherry TV Chest","$995.00"
"1634795928-12506","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Melbourne Truffle 4 Drawer TV Media Chest","$1025.00"
"1634795928-12481","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Litchville Brown Cherry Media Chest","$1169.00"
"1634795928-12423","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Avalon III Pebble Brown Media Chest","$765.00"
"1634795928-12426","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Castella Medium Tone Brown Media Chest","$3259.00"
"1634795928-12479","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Painted Canyon Brown Media Cart","$985.00"
