web-scraper-order,web-scraper-start-url,name,price
"1634794028-10537","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Versatile White 61'' Storage Unit","$1519.00"
"1634794028-10573","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Pure White 100"" Optimum L- Shaped Wardrobe","$3369.00"
"1634794028-10607","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Pure White 82"" Corner Open Storage Unit With 3 Drawers","$2295.00"
"1634794028-10604","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Cielo By Bark Gray and White 195"" ShoeCloset Storage Unit","$465.00"
"1634794028-10572","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Nina Magon Sand Lacquer Rembrandt Wardrobe","$3300.00"
"1634794028-10597","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Lennart White Armoire","$1339.00"
"1634794028-10527","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Versatile White 86'' Storage Wardrobe","$1675.00"
"1634794028-10459","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Asheville Acorn Wooden Chest","$825.00"
"1634794028-10603","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Edge By White 2 Drawer Storage Unit with Door","$815.00"
"1634794028-10558","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Pur By White Pullout Armoire","$1315.00"
"1634794028-10517","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Pur Chocolate 36"" Open Storage Unit","$585.00"
"1634794028-10606","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Cielo By Bark Gray and White 195"" ShoeCloset Storage Unit with Drawers","$715.00"
"1634794028-10529","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Pur By Bark Gray Corner Storage Kit","$2295.00"
"1634794028-10560","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Pur White 36"" Storage Unit with 3-Drawer Set And Doors","$1089.00"
"1634794028-10567","https://colemanfurniture.com/bedroom-furniture/armoires.htm","Milford Creek Lark Brown Door Armoire","$1739.00"
