web-scraper-order,web-scraper-start-url,subcat,subcat-href,name
"1629117265-15649","https://www.ecstuning.com/shop-by-brand/","Santech (19)","https://www.ecstuning.com/b-santech-parts/","Safety Pressure Switch"
"1629119429-16623","https://www.ecstuning.com/shop-by-brand/","Morimoto (290)","https://www.ecstuning.com/b-morimoto-parts/","LED Fog Light Assembly - Pair"
"1629115075-15205","https://www.ecstuning.com/shop-by-brand/","Torque Solution (81)","https://www.ecstuning.com/b-torque-solution-parts/","Lower Engine Mount"
"1629125883-19102","https://www.ecstuning.com/shop-by-brand/","Ansa (76)","https://www.ecstuning.com/b-ansa-parts/","Rear Muffler"
"1629114561-14858","https://www.ecstuning.com/shop-by-brand/","Walker (79)","https://www.ecstuning.com/b-walker-parts/","Oxygen Sensor"
"1629124479-18309","https://www.ecstuning.com/shop-by-brand/","Diffs by Turner (42)","https://www.ecstuning.com/b-diffs-by-turner-parts/","E60 M5 Differential - Stock Gear Ratio - M Variable Rebuild/Replace"
"1629114757-15028","https://www.ecstuning.com/shop-by-brand/","Valvetronic Designs (24)","https://www.ecstuning.com/b-valvetronic-designs-parts/","Valved Exhaust System With Chrome Tips - F3X N55/B58"
"1629119882-17013","https://www.ecstuning.com/shop-by-brand/","Koyo Cooling (2)","https://www.ecstuning.com/b-koyo-cooling-parts/","Radiator"
"1629124437-18251","https://www.ecstuning.com/shop-by-brand/","Dorman (68416)","https://www.ecstuning.com/b-dorman-parts/","Driveshaft"
"1629119548-16723","https://www.ecstuning.com/shop-by-brand/","Meyle (11440)","https://www.ecstuning.com/b-meyle-parts/","Wheel Hub - Priced Each"
"1629119920-17054","https://www.ecstuning.com/shop-by-brand/","KMAC (193)","https://www.ecstuning.com/b-kmac-parts/","Front Camber Upper Wishbone Inner Bushing - Set Of 4"
"1629118855-16091","https://www.ecstuning.com/shop-by-brand/","Platinum (7)","https://www.ecstuning.com/b-platinum-parts/","17 Pc Professional Metric Long Pattern Wrench Set"
"1629124588-18413","https://www.ecstuning.com/shop-by-brand/","CRP (93)","https://www.ecstuning.com/b-crp-parts/","Driveshaft Gasket - Priced Each"
"1629119045-16251","https://www.ecstuning.com/shop-by-brand/","OS Giken (17)","https://www.ecstuning.com/b-os-giken-parts/","OS Giken Clutch Kit - Grand Touring Series"
"1629121809-17601","https://www.ecstuning.com/shop-by-brand/","Gintani (1)","https://www.ecstuning.com/b-gintani-parts/","One Piece Crank Hub Solution"
"1629120340-17298","https://www.ecstuning.com/shop-by-brand/","Injen (80)","https://www.ecstuning.com/b-injen-parts/","Short Ram Intake - Polished"
"1629122148-17678","https://www.ecstuning.com/shop-by-brand/","Genuine European BMW (419)","https://www.ecstuning.com/b-genuine-european-bmw-parts/","Genuine BMW Euro Front Bumper Cover - E46 M3"
"1629119401-16592","https://www.ecstuning.com/shop-by-brand/","MotoRad (10)","https://www.ecstuning.com/b-motorad-parts/","Thermostat With Housing & Gasket"
"1629115217-15261","https://www.ecstuning.com/shop-by-brand/","Textar Ceramic (1)","https://www.ecstuning.com/b-textar-ceramic-parts/","Front Ceramic Brake Pad Set"
"1629115983-15392","https://www.ecstuning.com/shop-by-brand/","Status Gruppe (56)","https://www.ecstuning.com/b-status-gruppe-parts/","CSL Carbon Fiber Roof Panel"
"1629124887-18692","https://www.ecstuning.com/shop-by-brand/","Brey-Krause (75)","https://www.ecstuning.com/b-brey_krause-parts/","R-9224 Cobra Nogaro Seat Mounts For OEM Sliders"
"1629116736-15555","https://www.ecstuning.com/shop-by-brand/","Shell (13)","https://www.ecstuning.com/b-shell-parts/","Shell Helix Ultra Racing 10W-60 - 10 Liters"
"1629124873-18666","https://www.ecstuning.com/shop-by-brand/","Broadway Mirrors (37)","https://www.ecstuning.com/b-broadway-mirrors-parts/","Type A 360mm Flat"
