web-scraper-order,web-scraper-start-url,brand,name,price
"1635556824-49","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SG300-28MP-K9 28-Port Gigabit Max-PoE Managed Switch","$499.00"
"1635556819-30","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco Small Business SG250-26P-K9 24-Port Gigabit Ethernet Switch","$489.00"
"1635556824-48","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco 10-Port Gigabit PoE Managed Switch (SG300-10MPP-K9-NA)","$299.00"
"1635556824-43","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SG 300-20 (SRW2016-K9-NA) 20-Port Gigabit Managed Switch","$209.00"
"1635556824-31","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SG350-52P 52-Port Gigabit PoE Managed Switch","$999.00"
"1635556819-27","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco SG250-18 18-Port Gigabit Smart Switch","$229.00"
"1635556819-24","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco SF350-24P 24-Port 10 100 POE Managed Switch","$349.00"
"1635556824-53","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SG200-50FP 50 Port Gigabit Smart Ethernet Switch","$699.00"
"1635556824-39","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco MGBSX1 Gigabit SX Mini-GBIC SFP Transceiver","$79.00"
"1635556819-29","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco RV345 VPN Router with 16 Gigabit Ethernet (GbE) Ports plus Dual WAN, (RV345-K9-NA)","$399.00"
"1635556824-55","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","CISCO SYSTEMS 8 Port Ethernet Switch (SF110D08HPNA)","$79.00"
"1635556819-20","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","CISCO SYSTEMS Sg250-10P 10-Port Gigabit PoE Switch (SG25010PK9NA)","$296.00"
"1635556824-35","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SG500-52-K9-NA 52 Port Gigabit Managed Stackable Switch","$1,199.00"
"1635556824-33","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SPA122 Small Business ATA with Router","$59.96"
"1635556824-54","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","CISCO SYSTEMS SG500X 48-Port Gigabit PoE Switch (SG500X48MPK9NA)","$2,199.00"
"1635556824-44","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","CISCO SYSTEMS 16-Port Gigabit Switch (SG11016NA)","$109.00"
"1635556824-40","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SG500X-48-K9-NA 48 Port Gigabit Switch","$1,149.00"
"1635556824-46","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SF200-24 Smart Switch: 24 10/100 Ports, 2 Combo Mini-GBIC Ports (SLM224GTNA)","$99.00"
