web-scraper-order,web-scraper-start-url,brand,name,price
"1635420556-2282","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=2","NIKON","MH-22 Dual Quick Charger for EN-EL4/EN-EL4a","$199.00"
"1635420556-2265","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=2","VIDPRO","EN-EL3E Replacement Lithium-Ion Rechargeable Battery 7.4v 1700mAh for Select Nikon Digital Cameras","$39.00"
"1635420560-2323","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=1","VIDPRO","ACD-418 Rechargeable Battery for Panasonic DMW-BCM13E","$69.00"
"1635420560-2297","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=1","","Rapid Home & Travel Charger for Canon LP-E6 - 110/240v - AC/DC","$99.95"
"1635420552-2263","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=3","","Extended Life Battery Battery for EOS Rebel Camera","$149.95"
"1635420556-2293","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=2","","Replacement Battery Generic ENEL23","$119.00"
"1635420560-2318","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=1","VIDPRO","Rapid Charge for BP828 Battery","$149.00"
"1635420556-2273","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=2","","RTC-113 Rapid travel charger for LI-40B/ LI-42B/ EN-EL10","$29.95"
"1635420560-2312","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=1","BOWER","XBGC70D Battery Grip For Canon 70D/80D/90D","$199.00"
"1635420560-2320","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=1","AA","Battery Grip for Canon EOS 7D Digital SLR Camera","$299.00"
"1635420560-2295","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=1","","Replacement Battery EN EL15","$169.00"
"1635420552-2258","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=3","","Charger for DMW-BLG10","$99.00"
"1635420556-2266","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=2","VIDPRO","NPF-W50 Extended Life Battery for Sony NEX-3/ NEX-5/NEX 7 D-SLR Cameras","$59.95"
"1635420560-2301","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=1","","Replacement Battery for Nikon Digital SLR Cameras","$119.00"
"1635420560-2319","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=1","XIT","Pro Series Battery Power Grip for Nikon D3100/D3200 Digital SLR Cameras","$119.00"
"1635420552-2255","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=3","TOSHIBA","Toshiba Battery Pack","$30.00"
"1635420556-2268","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=2","VIDPRO","PT-81 AC/DC Rapid Battery Charger for Canon LP-E12 Battery","$49.95"
"1635420556-2291","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=2","","SCCHNPW235 - Charger for Fuji","$89.00"
"1635420552-2262","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=3","Generic","Replacement Battery for Canon Digital SLR Cameras","$79.95"
"1635420560-2307","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=1","SAKAR","2 pack of NIMH AA Rechargeable Batteries","$7.99"
"1635420560-2294","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=1","","Replacement Battery for Canon - High Capacity","$149.99"
"1635420556-2286","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=2","PREMIUM-TECH","PT-24 AC/DC Rapid Charger for Canon BP808/ 809/819","$49.95"
"1635420556-2283","https://www.abesofmaine.com/Store/Photography/Camera_Acessories/Batteries_Chargers/?Page=2","VIDPRO","D-LI92 Lithium-Ion Battery for Pentax Optio WG-3","$39.95"
