View_URL,link_URL,link,Category,Is_Leasable
https://www.bissell.com/parts,https://www.bissell.com/parts,Big Green® Carpet Cleaning Professional Package,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,BISSELL® Big Green® Machine Professional Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,Big Green® Carpet Cleaning Professional Package,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Essential® Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Deluxe™ Pet Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Deluxe™ Pet Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat 2X® Premier Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,Deep Clean ProHeat 2X Professional Pet Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat 2X® Premier Healthy Home Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Premier® Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Premier® Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat 2X® Premier Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Premier® Pet Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Premier® Pet Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,JetScrub™ Pet Carpet Cleaner w/ PET PRO OXY,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,JetScrub™ & Deep Clean Antibacterial Formula Bundle,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,JetScrub™ Pet Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,Lift-Off Deep Cleaner & Antibacterial Formula Bundle,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,Lift-Off® Deluxe Pet Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Lift-Off® Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,Lift-Off® Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Lift-Off® TurboBoost® Pet Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Lift-Off® Pet Carpet Cleaner Plus Bonus,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat 2X® Lift-Off® Pet Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat® Lift-Off™ Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat® Lift-Off™ Remanufactured Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Lift-Off® Professional Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,Lift-Off® Pet Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Lift-Off® Deluxe Pet Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Lift-Off® Pet Carpet Cleaner Plus Bonus,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Lift-Off® Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Lift-Off® Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Lift-Off® Deluxe Pet Carpet Cleaner Plus Bonus,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,DeepClean Lift-Off® Pet Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerClean® PowerBrush Plus Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerForce™ PowerBrush Pet XL Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerLifter® Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerSteamer® PowerBrush Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerSteamer® PowerBrush Select Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerLifter® PowerBrush Upright Carpet Cleaning Bundle,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerSteamer® Pro Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerSteamer® PowerBrush Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerSteamer® Pro Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerSteamer® PowerBrush Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerLifter® PowerBrush & Pet Stain & Odor Formula Bundle,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PowerLifter® PowerBrush Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,PROdry® Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat® Essential Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat® Pet Turbo Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat® Advanced Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat® Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat® Pet Upright Carpet Cleaner,Vaccum Cleaner,TRUE
https://www.bissell.com/parts,https://www.bissell.com/parts,ProHeat® Plus Upright Carpet Cleaner,Vaccum Cleaner,TRUE
