product-img-link href,cleanDesc,part-info,part-info 2,price,wishlist-label href,short-description,starting-at
https://www.turnermotorsport.com/p-589288-supersprint-performance-exhaust-system-e36-323isic-m52-25l/,"Supersprint Performance Exhaust System - E36 323is/ic M52 2.5L
    ...",589288,TMSE36323SS,"$4,304.56",https://www.turnermotorsport.com/c-806-bmw-axleback-exhaust-systems#,"Supersprint exhaust is widely recognized as the leader in complete exhaust system upgrades - extremely high quality, well designed for optimal flow, and amazing sound. Even at a premium price, Supersprint is an unbeatable exhaust system because every aspect is done to such a high level. A Supersprint exhaust rewards you with a terrific sound, long-lasting construction, and excellent fitment. The Supersprint sound is very 'European' which fits the sporting sophistication of BMWs perfectly. Most systems are also modular - sections can be added or removed to custom tailor the exhaust sound to your preference. Aside from 'Race' systems, their mufflers meet European noise laws so you get a refined and tuned sound without being excessively loud. Supersprint exhausts generally run at a premium over other systems but no other system on the market can match their quality, performance, or reputation!",Starting at
https://www.turnermotorsport.com/p-588197-supersprint-performance-exhaust-system-f87-m2-n55-30l/,Supersprint Performance Exhaust System - F87 M2 N55 3.0L,588197,TMSF87M2SS,"$2,237.34",https://www.turnermotorsport.com/c-806-bmw-axleback-exhaust-systems#,"Supersprint exhaust is widely recognized as the leader in complete exhaust system upgrades - extremely high quality, well designed for optimal flow, and amazing sound. Even at a premium price, Supersprint is an unbeatable exhaust system because every aspect is done to such a high level. A Supersprint exhaust rewards you with a terrific sound, long-lasting construction, and excellent fitment. The Supersprint sound is very 'European' which fits the sporting sophistication of BMWs perfectly. Most systems are also modular - sections can be added or removed to custom tailor the exhaust sound to your preference. Aside from 'Race' systems, their mufflers meet European noise laws so you get a refined and tuned sound without being excessively loud. Most Supersprint systems are built with larger diameter piping to improve exhaust flow which helps the engine do less work and make more horsepower! Supersprint exhausts generally run at a premium over other systems but no other system on the market can match their quality, performance, or reputation!",Starting at
https://www.turnermotorsport.com/p-339960-f80-m3-f82-m4-supersprint-racing-mufflers/,"F80 M3, F82 M4 Supersprint Racing Mufflers",339960,047934-047904,"$2,180.64",https://www.turnermotorsport.com/c-806-bmw-axleback-exhaust-systems#,"Supersprint Race mufflers for the F8X M3/M4 combine Italian craftsmanship with 60 years of exhaust tuning experience to deliver a muffler upgrade with an intoxicating exhaust note. The Supersprint Racing mufflers build on the M3/M4's muscular exhaust with extra punch and volume. This system does not use the muffler diverter valves of the stock system so it's like getting the Sport Plus sound with an Italian twist. This is the muffler section only (left and right mufflers) and will be a slip-fit to original factory resonator. Choose from 80mm or 90mm tipes in chrome, satin silver, or black.",Starting at
https://www.turnermotorsport.com/p-638725-supersprint-performance-exhaust-system-g20-m340i/,Supersprint Performance Exhaust System - G20 M340i,638725,G20M340SSE,"$2,219.55",https://www.turnermotorsport.com/c-806-bmw-axleback-exhaust-systems#,"Supersprint exhaust is widely recognized as the leader in complete exhaust system upgrades - extremely high quality, well designed for optimal flow, and amazing sound. Even at a premium price, Supersprint is an unbeatable exhaust system because every aspect is done to such a high level. A Supersprint exhaust rewards you with a terrific sound, long-lasting construction, and excellent fitment. The Supersprint sound is very 'European' which fits the sporting sophistication of BMWs perfectly. Most systems are also modular - sections can be added or removed to custom tailor the exhaust sound to your preference. Aside from 'Race' systems, their mufflers meet European noise laws so you get a refined and tuned sound without being excessively loud. Most Supersprint systems are built with larger diameter piping to improve exhaust flow which helps the engine do less work and make more horsepower! Supersprint exhausts generally run at a premium over other systems but no other system on the market can match their quality, performance, or reputation!",Starting at
https://www.turnermotorsport.com/p-589358-supersprint-us-spec-performance-exhaust-system-e36-328-m3/,"Supersprint US Spec Performance Exhaust System - E36 328 M3
       ...",589358,E36328SS,"$4,858.37",https://www.turnermotorsport.com/c-806-bmw-axleback-exhaust-systems#,"Supersprint exhaust is widely recognized as the leader in complete exhaust system upgrades - extremely high quality, well designed for optimal flow, and amazing sound. Even at a premium price, Supersprint is an unbeatable exhaust system because every aspect is done to such a high level. A Supersprint exhaust rewards you with a terrific sound, long-lasting construction, and excellent fitment. The Supersprint sound is very 'European' which fits the sporting sophistication of BMWs perfectly. Most systems are also modular - sections can be added or removed to custom tailor the exhaust sound to your preference. Aside from 'Race' systems, their mufflers meet European noise laws so you get a refined and tuned sound without being excessively loud. Supersprint exhausts generally run at a premium over other systems but no other system on the market can match their quality, performance, or reputation!",Starting at
https://www.turnermotorsport.com/p-589068-supersprint-performance-exhaust-system-e31-850i-m73/,Supersprint Performance Exhaust System - E31 850i M73,589068,850IM73SS,"$2,107.23",https://www.turnermotorsport.com/c-806-bmw-axleback-exhaust-systems#,"Supersprint exhaust is widely recognized as the leader in complete exhaust system upgrades - extremely high quality, well designed for optimal flow, and amazing sound. Even at a premium price, Supersprint is an unbeatable exhaust system because every aspect is done to such a high level. A Supersprint exhaust rewards you with a terrific sound, long-lasting construction, and excellent fitment. The Supersprint sound is very 'European' which fits the sporting sophistication of BMWs perfectly. Most systems are also modular - sections can be added or removed to custom tailor the exhaust sound to your preference. Aside from 'Race' systems, their mufflers meet European noise laws so you get a refined and tuned sound without being excessively loud. Supersprint exhausts generally run at a premium over other systems but no other system on the market can match their quality, performance, or reputation!",Starting at
https://www.turnermotorsport.com/p-340088-f80-m3-f82-m4-supersprint-performance-mufflers/,"F80 M3, F82 M4 Supersprint Performance Mufflers",340088,989634-989604,"$3,984.30",https://www.turnermotorsport.com/c-806-bmw-axleback-exhaust-systems#,"Supersprint Race mufflers for the F8X M3/M4 combine Italian craftsmanship with 60 years of exhaust tuning experience to deliver a muffler upgrade with an intoxicating exhaust note. The Supersprint Racing mufflers build on the M3/M4's muscular exhaust with extra punch and volume. This system has integrated diverter valves just like the stock system. The valves function just like the factory system - valves are closed in Normal and Sport modes and open when in Sport Plus is selected. The actuators are removed from your stock system and installed on the Supersprint valves. You get a stock-like sound but with an Italian twist. This is the muffler section only (left and right mufflers) and will be a slip-fit to original factory resonator. Choose from 80mm or 90mm tipes in chrome, satin silver, or black.",Starting at
https://www.turnermotorsport.com/p-637045-supersprint-performance-exhaust-system-f95-x5-m/,Supersprint Performance Exhaust System - F95 X5 M,637045,F95X5MSS,"$7,951.00",https://www.turnermotorsport.com/c-806-bmw-axleback-exhaust-systems#,"Supersprint exhaust is widely recognized as the leader in complete exhaust system upgrades - extremely high quality, well designed for optimal flow, and amazing sound. Even at a premium price Supersprint is an unbeatable exhaust system because every aspect is done to such a high level. A Supersprint exhaust rewards you with a terrific sound, long lasting construction and excellent fitment. The Supersprint sound is very 'European' which fits the sporting sophistication of BMWs perfectly. Most systems are also modular - sections can be added or removed to custom tailor the exhaust sound to your preferance. Aside from 'Race' systems, their mufflers meet European noise laws so you get a refined and tuned sound without being excessively loud. Most Supersprint systems are built with larger diameter piping to improve exhaust flow which helps the engine do less work and make more horsepower! Supersprint exhausts generally run at a premium over other systems but no other system on the market can match their quality, performance, or reputation!",Starting at
https://www.turnermotorsport.com/p-180917-e46-m3-supersprint-performance-muffler/,E46 M3 Supersprint Performance Muffler (4x80mm),180917,787506,"$1,684.69",https://www.turnermotorsport.com/c-806-bmw-axleback-exhaust-systems#,This item fits the following BMWs:,
https://www.turnermotorsport.com/p-582500-performance-muffler-with-connecting-pipes/,"Supersprint Performance Muffler With Connecting Pipes - F90 M5
    ...",582500,525204KT,"$5,566.00",https://www.turnermotorsport.com/c-806-bmw-axleback-exhaust-systems#,"Supersprint exhaust is widely recognized as the leader in complete exhaust system upgrades - extremely high quality, well designed for optimal flow, and amazing sound. Even at a premium price Supersprint is an unbeatable exhaust system because every aspect is done to such a high level. A Supersprint exhaust rewards you with a terrific sound, long-lasting construction and excellent fitment. The Supersprint sound is very 'European' which fits the sporting sophistication of BMWs perfectly. Most systems are also modular - sections can be added or removed to custom tailor the exhaust sound to your preference. Aside from 'Race' systems, their mufflers meet European noise laws so you get a refined and tuned sound without being excessively loud. Most Supersprint systems are built with larger diameter piping to improve exhaust flow which helps the engine do less work and make more horsepower! Supersprint exhausts generally run at a premium over other systems but no other system on the market can match their quality, performance, or reputation! DOES NOT INCLUDE EXHAUST TIPS. TIPS MUST BE PURCHASED SEPARATELY.",
