product-img-link href,cleanDesc,part-info,part-info 2,price,short-description
https://www.turnermotorsport.com/p-366826-professional-bmw-mini-scan-tool/,Professional BMW/MINI/Rolls Royce Elite Scan Tool,366826,014020SCH01A,$183.96,"Developed specifically for BMW/MINI/Rolls Royce vehicles, connect through the OBD diagnostic port or using the BMW 20 pin adapter (ES2992111). Featuring the newest software and hardware and still in a compact housing."
https://www.turnermotorsport.com/p-366829-bmw-round-20-pin-to-16-pin-obd-ii-connector/,Schwaben by Foxwell 20 pin Scan Tool Adaptor - For BMW models produc...,366829,014020SCH02A,$18.36,"Adapts the Schwaben by Foxwell scan too to work on cars with 20 pin under hood connectors. If you're a fan of older model BMW's and still want a more advanced diagnostic tool or to be able to reset your service lights, this is the ultimate accessory for your new scan tool. Perfect for pre- OBDII vehicles that require the use of the diagnostic port in the engine bay."
https://www.turnermotorsport.com/p-401240-obdii-and-eobd-code-scanner/,Schwaben OBDII and EOBD Code Scanner - BMW & MINI,401240,019599SCH01A,$84.76,"Check engine fault codes can appear for many reasons, some of them small and some of them potentially catastrophic. To check this quick and easy, we off this OBDII/EOBD Code Reader from Foxwell. This scanner offers useful information for everyone, from an entry-level DIYer to a seasoned automotive Pro. In addition, this scanner features hot keys for I/M readiness testing and reading/clearing DTCs"
https://www.turnermotorsport.com/p-391453-carista-bluetooth-obd2-adapter/,Carista Bluetooth OBD2 Adapter - BMW & Mini,391453,COBD-BT24,$29.99,"Carista is a smartphone application for both iOS and Android devices that allows owners to diagnose vehicle faults, reset service indicators, and customize vehicle systems without any complicated coding. In order to use Carista on your vehicle, only three things are required: An iPhone, iPad, or iPod touch running iOS 8.0 or later OR an Android device running Android 2.3 and up The Carista OBD2 App: Available on the Apple AppStore and Google Play Bluetooth OBD2 Adapter: Available HERE! Uses Bluetooth 4LE which prevents drainage to the car's battery due to it's power saving mode. Since the adapter is Bluetooth, the Wi-Fi connection on your mobile device remains open so you can still browse the internet while still remaining connected to the vehicle. The Carista Bluetooth OBD2 Adapter is also compatible with the OBD Fusion app on iOS and Android. Diagnose (OBD2): Carista can check your vehicle's health and report any faults stored in its computers. You can also clear any fault codes and reset your ""check engine"" light, as emissions test readiness. This is a FREE feature. Diagnose (Manufacturer-Specific): Unlike regular OBD2 apps, Carista also gives you access to advanced manufacturer-specific diagnostics, including computers like ABS, airbag, navigation, etc. and gives you the ability to reset your airbag light, ABS light, traction control light, etc. Manufacturer-Specific Diagnosis is a PAID feature; supported vehicles only. Customization: Carista gives you the power to personalize the behavior of your car’s windows, lights, instruments and more, with a click of a button. Customization is a PAID feature; supported vehicles only. Service: With Carista’s DIY tools, resetting your oil service indicator, servicing your electronic parking brake or checking your launch control count becomes a 1-click action. This is a PAID feature; supported vehicles only. Pricing: All PAID features listed above are available with an in-app purchase of Pro functionality: complimentary 1 month trial included, annual subscriptions are $39.99/year."
https://www.turnermotorsport.com/p-397153-icom-next-b/,"Genuine BMW ICOM Next B Diagnostic Adapter - MOST Connector
       ...",397153,81312360884,$253.74,
https://www.turnermotorsport.com/p-7161-12521724690-genuine-bmw-part/,Genuine BMW diagnostics plug cap - Z3 E28 E31 E36 E30 E34 E24 E38 E3...,7161,12521724690,$25.32,"Genuine BMW Cover, Diagnostics Plug    E30 M3,E36 M3,E34 M5,E39 M5,E30,E34,E36,E38,E39"
https://www.turnermotorsport.com/p-580342-smoke-machine-intake-adapter-bladder-smoker/,Bav Auto Smoke Machine Intake Adapter Bladder,580342,B8800012,$65.95,"The inflatable intake adapter quickly and easily adapts to all sizes of intake boots, bellows or pipes, as well as exhaust pipes and other vacuum or pressure system tubes. The adapter assures quick and secure connection of your diagnostic smoker (Evaporative Smoke Machine). No more tapered cones slipping out of the boots or pipes. Simply insert the inflatable bladder into the intake boot (or exhaust) and pump the inflation bulb. The bladder will expand to fit round, oval or other odd shaped boots, pipes, bellows, etc. Once inflated, connect your smoker's outlet hose to the second hose on the adapter. The smoke is injected through the tube in the bladder and into the system being tested."
https://www.turnermotorsport.com/p-14011-61136917541-genuine-bmw-part/,"Genuine BMW Fiber Optic System Jumper - MOST System - E65/66
      ...",14011,61136917541,$23.11,"This component is useful if your navigation or other electronics have died, as if they have your entire electrical interface may fail. If that is the case, this jumper can bypass those components.    Genuine BMW Diagnosis Interface Most -     E65"
https://www.turnermotorsport.com/p-568229-autel-maxisys-ms906bt-diagnostic-tool/,Autel MaxiSYS MS906BT Diagnostic Tool,568229,MS906BT,"$1,699.99",Professional Scan Tablet with Bluetooth VC!
https://www.turnermotorsport.com/p-2302720-thinkobd-100/,THINKOBD 100,2302720,301050512,$33.95,"This THINKOBD 100 obd2 car code reader can fast scan and clear trouble codes, even a beginner can use this unit to read the error code."
https://www.turnermotorsport.com/p-140492-61136931507-genuine-bmw-part/,Genuine BMW Diagnosis Interface Connection,140492,61136931507,$25.23,"Genuine BMW Diagnosis Interface Most    E60 M5,E63 M6,E70 X5M,E71 X6M,E63,E70 X5,E71 X6,E90,E92,E93,F01,F02,F06,F10,F12,F13,F15,F16,F25 X3,F26 X4,F30,F31"
https://www.turnermotorsport.com/p-580416-automotive-diagnostic-smoke-machine/,Bav Auto Automotive Diagnostic Smoke Machine,580416,B8800109,$557.95,"Great for finding vacuum, exhaust and evap leaks"
https://www.turnermotorsport.com/p-2302719-thinkdiag-mini/,ThinkDiag Mini,2302719,306010003,$59.46,Diagnostic functions of ThinkDiag Mini are comparable to professional and expensive comprehensive diagnostic equipment
https://www.turnermotorsport.com/p-585023-schwaben-by-foxwell-new-i70-pro-android-tablet-scan-tool/,Schwaben by Foxwell New i70 Pro Android Tablet Scan Tool,585023,3698545KT,"$1,088.00","Faster, easier to use and based on the newest Android system."
https://www.turnermotorsport.com/p-641887-autel-maxicheck-mx808-diagnostic-tool/,Autel MaxiCheck MX808 Diagnostic Tool,641887,AUL-MX808,$499.99,Features a 7 inch touch screen and a fast quad-core processor
https://www.turnermotorsport.com/p-2302718-thinkdiag-include-1-free-software/,THINKDIAG (include 1 Free Software),2302718,301180767,$101.99,"ThinkDiag is prefect to use with the unique THINKCAR app. Easy and convenient, anytime and anywhere."
https://www.turnermotorsport.com/p-200205-p3cars-low-profile-obd-plug-with-2-ft-extension-harness/,P3Cars Low Profile OBD Plug with 2-ft Extension Harness,200205,P3OBDFLEX,$30.00,"If you have ever wished the OBD plug was easier to access this is the product for you! P3 Cars developed this extension harness for use with their wonderful P3 Gauges but it serves other purposes too. The main feature is the low profile plug that is connected to the car's factory OBD port (by the driver's ankle or knee). With the P3 Gauge or other OBD tools, the plug can be large and bulky which can interfere with installation or unplugging the unit. In some cases, the installation requires you to modify the cover for the OBD port for a seamless install. But with the slim design of the P3 extension harness, it fits out of sight in almost every application."
https://www.turnermotorsport.com/p-2914136-maxisys-ultra/,MaxiSys Ultra,2914136,MSULTRA,"$5,999.00",The MaxiSys Ultra is Autel’s most ambitious diagnostics tablet designed to maximize technician intelligence.
https://www.turnermotorsport.com/p-2914116-autel-autolink-al329/,Autel Autolink AL329,2914116,AL329,$51.99,OBDII Code Reader
https://www.turnermotorsport.com/p-2317845-thinkdriver/,THINKDRIVER,2317845,306010001,$59.46,The most advanced diagnostic tool on the market while offering 0-60 times.
https://www.turnermotorsport.com/p-2317852-scope-box-4-channels/,SCOPE BOX 4 CHANNELS,2317852,309020006,$849.99,"Requires ThinkTool, sold separately"
https://www.turnermotorsport.com/p-2914134-maxisys-ultra-diagnostic-tablet-with-free-autel-maxivideo-mv500/,"MaxiSYS ULTRA Diagnostic Tablet With FREE Autel MaxiVideo MV500
   ...",2914134,MSULTRAPRO,"$5,999.00",The MaxiSys Ultra is Autel’s most ambitious diagnostics tablet designed to maximize technician intelligence.
https://www.turnermotorsport.com/p-2914150-maxisys-msoak/,MaxiSys MSOAK,2914150,MSOAK,$474.99,Oscilloscope Accessory Kit
https://www.turnermotorsport.com/p-2302733-thinkscan-660/,ThinkScan 660,2302733,303020007,$254.96,THINKSCAN 660 Handheld Enhanced OB2 Scanner
https://www.turnermotorsport.com/p-2317848-thinktool-deluxe-basic-scopebox/,THINKTOOL DELUXE  (BASIC + ScopeBox),2317848,501010002,"$2,124.99","Intelligent diagnostics and traditional diagnostics functions, including OBDII full-function diagnostics, reading/clearing fault codes, reading real-time data streams, special features, actuation tests and more"
https://www.turnermotorsport.com/p-2302723-thinkdriver-scan-tool/,THINKDRIVER Scan Tool,2302723,301190609,$46.75,Performs OBD functions and full module scans
https://www.turnermotorsport.com/p-2914119-maxiim-im508/,MaxiIM IM508,2914119,IM508,$988.10,"MaxiIM IM508 is a fast, easy-to-use, and ultraportable immobilizer and key programming device."
https://www.turnermotorsport.com/p-2914117-pro-service-tool/,PRO SERVICE TOOL,2914117,AL609P,$189.99,"The ABS/SRS + CAN OBDII AutoLink AL609P is built to help you determine why the Malfunction Indicator Light or the ABS warning light is on. Featured with ABS and SRS system diagnosis, 2.8’’ LCD, built-in DTC lookup library, AL609P offers swift code rea"
https://www.turnermotorsport.com/p-2914129-autolink-al529hd/,AutoLink AL529HD,2914129,AL529HD,$149.99,"Autel’s latest member of its code reader family of tools, the AL529HD can not only diagnose OBDII/EOBD-compatible vehicles but also heavy duty vehicles utilizing SAE-J1939 and SAE-J1708 protocols."
https://www.turnermotorsport.com/p-529630-icom-next-c/,Genuine BMW ICOM Next C,529630,81312360885,$371.43,
