normal_image src,hover_image src,lazy_href,lazy_href href,part_number 2,title,key_details,key_details 2,key_details 3,key_details 4,key_details 5,price,save,percent-box,final-price,ships,text 2,text 3,text 4,bv_main_container href,bv_stars_svg_no_wrap href,bv_text,bv_text 2,key_details 6,key_details 7,key_details 8,key_details 9,key_details 11,key_details 12,ellip,morelink,morelink href
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GXD1C67963/GXD1C67963-500x400-01.1a802005376b6971.png,https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GXD1C67963/GXD1C67963-500x400-03.252c3eca9888ee02.png,Lenovo IdeaPad Gaming H100 Headset,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD1C67963,GXD1C67963,Key Details,50mm high-end sound drivers that deliver realistic gaming audio,Professionally tuned to perfection,Swivel to store and advanced voice capture omnidirectional microphone,Inbuilt volume control wheel and mute slide button for on-the-fly adjustments,"Light-weight design ideal for long, multi-hour gaming sessions",$29.99,save $10.00,33% off,$19.99,"Ships FREE by Thu, Oct 14",Earn Triple Rewards,$1,=,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD1C67963,[object Object],4.7,(27),50mm high-end sound drivers that deliver realistic gaming audio,Professionally tuned to perfection,Swivel to store and advanced voice capture omnidirectional microphone,Inbuilt volume control wheel and mute slide button for on-the-fly adjustments,Soft cushions with breathable leatherette that help you survive endurance gaming sessions,Soft cushions with breathable leatherette that help you survive endurance gaming sessions,...,See More Details,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD1C67963
https://p3-ofp.static.pub/fes/cms/2021/09/02/ecntxggmbmicnqn6rarlitb8niy6t3357562.jpg,https://p4-ofp.static.pub/fes/cms/2021/09/02/qgfdhd2ofwwlaxbvkg6ful4c5oj8hj262350.jpg,Lenovo 100 Stereo Analog Headset,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD1B60597,GXD1B60597,Key Details,Comfort fit ear piece,Adjustable Headband and Boom Arm,180 Degree Microphone,Fits standard 3.5mm port with your laptop or workstation,,$19.99,save $5.00,25% off,$14.99,"Ships FREE by Thu, Oct 14",Earn,$0.45,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD1B60597,[object Object],4.3,(43),Comfort fit ear piece,Adjustable Headband and Boom Arm,180 Degree Microphone,Fits standard 3.5mm port with your laptop or workstation,,,,,
https://p1-ofp.static.pub/fes/cms/2021/08/27/5lx7cna8zdy4bztmw6qecx9cuet1g1096005.png,https://p1-ofp.static.pub/fes/cms/2021/08/27/djx9bsx0vmbokvbgsflodd2l5kxfz1809366.png,Lenovo 500 Bluetooth In-ear Headphones,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/GXD1B65027,GXD1B65027,Key Details,"Support 10 hours of meeting or music playing time, 100 hours of extra long standby time","Crisp, clear audio for VoIP calls",Light-weighted for wear comfortability,3-button remote with microphone allows you to easily control playback and make and receive hands-free phone calls,Unique in-ear design comes with three EarGels and Shark Fins,$39.99,save $10.00,25% off,$29.99,"Ships FREE by Thu, Oct 14",Earn,$0.90,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/GXD1B65027,[object Object],3.9,(28),"Support 10 hours of meeting or music playing time, 100 hours of extra long standby time","Crisp, clear audio for VoIP calls",Light-weighted for wear comfortability,3-button remote with microphone allows you to easily control playback and make and receive hands-free phone calls,,,,,
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/GXD0T32973/GXD0T32973-560x450-01.19a78a6a1f4a1fb1.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GXD0T32973/GXD0T32973-560x450-02.68294d748869e703.png,Lenovo 700 Ultraportable Bluetooth Speaker,https://www.lenovo.com/us/en/p/accessories-and-software/audio/speakers/GXD0T32973,GXD0T32973,Key Details,"THE FUTURE LOOKS SLIM AND SOUNDS AMAZING As thin and lightweight as a smartphone, this ultra-thin Bluetooth 5.0 speaker is engineered to shatter records. Delivering ultimate 360° sound quality, tt features touch controls, native voice assistant support. Give a look, and a listen to the future as you go: It's in your pocket, and it sounds crisp. • - at only 11 mm (0.43""), This Bluetooth speaker fast-charges in 2 hours, lasts for 12, and sports IPX2","THE FUTURE LOOKS SLIM AND SOUNDS AMAZING As thin and lightweight as a smartphone, this ultra-thin Bluetooth 5.0 speaker is engineered to shatter records. Delivering ultimate 360° sound quality, tt features touch controls, native voice assistant support. Give a look, and a listen to the future as you go: It's in your pocket, and it sounds crisp. • - at only 11 mm (0.43""), This Bluetooth speaker fast-charges in 2 hours, lasts for 12, and sports IPX2","Quintessential portability, advanced design","Quintessential portability, advanced design",,$149.99,save $80.00,53% off,$69.99,"Ships FREE by Thu, Oct 14",Earn,$2,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/audio/speakers/GXD0T32973,[object Object],4.5,(73),,,,,,,...,See More Details,https://www.lenovo.com/us/en/p/accessories-and-software/audio/speakers/GXD0T32973
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTM4MzN8aW1hZ2UvanBlZ3xoMmYvaDk4LzExNjA3OTUwOTUwNDMwLmpwZ3w3ZWI5ZDNlOWM1MjE3MDQ5OGZlOWVhMzJlMWMxNmE2YzQwNjU0OWY4N2JlOWY0NzdkZTM4ODcwNDAwYmQ1Y2Rm/EF38AECB-4D50-4268-8D40-884D337786AF.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTM4MzN8aW1hZ2UvanBlZ3xoMmYvaDk4LzExNjA3OTUwOTUwNDMwLmpwZ3w3ZWI5ZDNlOWM1MjE3MDQ5OGZlOWVhMzJlMWMxNmE2YzQwNjU0OWY4N2JlOWY0NzdkZTM4ODcwNDAwYmQ1Y2Rm/EF38AECB-4D50-4268-8D40-884D337786AF.jpg,S-150 2PC USB DIGITAL SPEAKERS SPKR,https://www.lenovo.com/us/en/p/accessories-and-software/audio/speakers/78000426,78000426,,,,,,,,,,$14.99,Ships FREE in 1-3 business days,Earn,$0.45,in Rewards,,,,,,,,,,,,,
https://p2-ofp.static.pub/fes/cms/2021/08/27/2pl0wp8cen7eriqalfc4jb01jns9le928788.png,https://p1-ofp.static.pub/fes/cms/2021/08/27/7r3n673se6gt1l3827zb6c85h438p7469373.png,Lenovo 100 Mono USB Headset,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/4XD1B61617,4XD1B61617,Key Details,Plug and Play with USB-A,Rotatable Boom Microphone for either right- or left-side wearing,Leather and Memory-form single earcup for all-day comfort,1.8m cable length,Warranty 1 Year,$24.99,save $8.00,32% off,$16.99,Ships FREE in 4-7 business days,Earn,$0.51,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/4XD1B61617,[object Object],4.5,(12),Plug and Play with USB-A,Rotatable Boom Microphone for either right- or left-side wearing,Leather and Memory-form single earcup for all-day comfort,1.8m cable length,,,,,
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GXD0T69863/GXD0T69863-560x450-01.a79c2f420dc8deef.png,https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GXD0T69863/GXD0T69863-560x450-02.898ab4844fd8ff76.png,Lenovo Legion H300 Stereo Gaming Headset,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD0T69863,GXD0T69863,Key Details,Hear every detail with with 50mm drivers,Audio tuned for perfection.,Retractable passive noise-cancelling microphone built for gamers,In-line audio control with volume dial & mic mute button,Durable suspension headband designed for lasting comfort,$69.99,save $38.00,54% off,$31.99,"Ships FREE by Thu, Oct 14",Earn Triple Rewards,$2,=,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD0T69863,[object Object],4.4,(129),Hear every detail with with 50mm drivers,Audio tuned for perfection.,Retractable passive noise-cancelling microphone built for gamers,In-line audio control with volume dial & mic mute button,Soft cushions with PU leather for endurance gaming,Soft cushions with PU leather for endurance gaming,...,See More Details,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD0T69863
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GXD1A39963/GXD1A39963---01-500x400.db03c89215b53542.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GXD1A39963/GXD1A39963---02-500x400.305d0938017f328b.png,Lenovo Yoga Active Noise Cancellation Headphones-Shadow Black,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD1A39963,GXD1A39963,Key Details,Hybrid ANC (you hear) and advanced ENC ( they hear) technology,"Boom-less six microphones: 4 for ANC, 4 for ENC","Battery 800 mAH, fully charge in 3 hours, ~14 hours playback (ANC off) under Bluetooth connection",Charge while in use without interruption,Dual Bluetooth device connectivity,$149.99,save $40.00,26% off,$109.99,"Ships FREE by Thu, Oct 14",Earn,$3,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD1A39963,[object Object],4.3,(28),Hybrid ANC (you hear) and advanced ENC ( they hear) technology,"Boom-less six microphones: 4 for ANC, 4 for ENC","Battery 800 mAH, fully charge in 3 hours, ~14 hours playback (ANC off) under Bluetooth connection",Charge while in use without interruption,Comfort & Sound Reimagined: Multi-Layered Memory Foam Ear Cups,Comfort & Sound Reimagined: Multi-Layered Memory Foam Ear Cups,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTM3NjB8aW1hZ2UvanBlZ3xoM2EvaDRiLzExNjAwMzg4MTYxNTY2LmpwZ3w2ZGRiNjI2YjgzZjdkYjZkMzQ2ODA3M2RiMGIxYjE1ZWZiNTFlZjA0ZjFlZTIxMzg5MjIxODgxZDA5NDJmOTQ1/8C7CF7DA-9EB4-41C9-8B5D-AF6FDE4C6EC0.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTM3NjB8aW1hZ2UvanBlZ3xoM2EvaDRiLzExNjAwMzg4MTYxNTY2LmpwZ3w2ZGRiNjI2YjgzZjdkYjZkMzQ2ODA3M2RiMGIxYjE1ZWZiNTFlZjA0ZjFlZTIxMzg5MjIxODgxZDA5NDJmOTQ1/8C7CF7DA-9EB4-41C9-8B5D-AF6FDE4C6EC0.jpg,G733 WL RGB GAME HDSET         WRLS,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78016768,78016768,Key Details,Total freedom with up to 20 m wireless range and LIGHTSPEED wireless audio transmission. Keep playing for up to 29 hours of battery life.1 Play in stereo on PlayStation(R) 4..2,"Personalize your headset lighting across the full spectrum, ~16.8M colors. Play in colors with front-facing, dual-zone LIGHTSYNC RGB lighting and choose from preset animations or create your own with G HUB software.","Colorful, reversible suspension headbands are designed for comfort during long play sessions.",Ad,,$149.99,save $20.00,13% off,$129.99,Ships FREE in 1-3 business days,Earn Triple Rewards,$11,=,,,,,Total freedom with up to 20 m wireless range and LIGHTSPEED wireless audio transmission. Keep playing for up to 29 hours of battery life.1 Play in stereo on PlayStation(R) 4..2,"Personalize your headset lighting across the full spectrum, ~16.8M colors. Play in colors with front-facing, dual-zone LIGHTSYNC RGB lighting and choose from preset animations or create your own with G HUB software.","Colorful, reversible suspension headbands are designed for comfort during long play sessions.",Ad,,,...,See More Details,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78016768
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GXD0U47643/GXD0U47643-560x450-01.b2c4dfeaa47f34a8.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/GXD0U47643/GXD0U47643-560x450-02.dfc8a3ab2e1a2f7b.png,Lenovo Yoga Active Noise Cancellation Headphones,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD0U47643,GXD0U47643,Key Details,Hybrid ANC (you hear) and advanced ENC ( they hear) technology,"Boom-less six microphones: 4 for ANC, 4 for ENC","Battery 800 mAH, fully charge in 3 hours, ~14 hours playback (ANC off) under Bluetooth connection",Charge while in use without interruption,Dual Bluetooth device connectivity,$149.99,save $60.00,40% off,$89.99,"Ships FREE by Thu, Oct 14",Earn,$2,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/GXD0U47643,[object Object],4.4,(130),Hybrid ANC (you hear) and advanced ENC ( they hear) technology,"Boom-less six microphones: 4 for ANC, 4 for ENC","Battery 800 mAH, fully charge in 3 hours, ~14 hours playback (ANC off) under Bluetooth connection",Charge while in use without interruption,Comfort & Sound Reimagined: Multi-Layered Memory Foam Ear Cupsg,Comfort & Sound Reimagined: Multi-Layered Memory Foam Ear Cupsg,,,
