normal_image src,hover_image src,heart src,productGalleryOverride src,productGalleryOverride src 2,productGalleryOverride src 3,lazy_href,lazy_href href,part_number 2,title,key_details,key_details 2,key_details 3,key_details 4,final-price,ships,text 3,bv_main_container href,bv_stars_svg_no_wrap href,bv_text,bv_text 2,key_details 6,key_details 7,key_details 8,key_details 9
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X90U90620/4X90U90620-560x450-01.ec09161c58b44023.png,https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X90U90620/4X90U90620-560x450-02.65490d2ce820cca4.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkPad Workstation Dock Slim Tip Y Cable,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/cables/4X90U90620,4X90U90620,Key Details,"Slim design, only works with ThinkPad Thunderbolt 3 Workstation Dock Gen 2(Dock sold separately)","Input: 230W, slim tip",Output: 2 outputs connecting to ThinkPad Thunderbolt 3 Workstation Dock Gen 2.,,$14.99,Ships FREE in 4-7 business days,$0.45,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/cables/4X90U90620,[object Object],4.3,(87),"Slim design, only works with ThinkPad Thunderbolt 3 Workstation Dock Gen 2(Dock sold separately)","Input: 230W, slim tip",Output: 2 outputs connecting to ThinkPad Thunderbolt 3 Workstation Dock Gen 2.,
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X90Q59481/4X90Q59481-560x450-01.287c5638b96059a8.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/4X90Q59481/4X90Q59481-560x450-02.ceeedea4f8fffd9c.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo USB-C to USB-A Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/4X90Q59481,4X90Q59481,Key Details,"Short cable adapter is easy to stow away in your sleeve, bag or backpack",Fast data transfer from USB-A devices,Date rate 5Gbps,Power USB A Devices up to 5V/2A,$12.99,Ships FREE in 4-7 business days,$0.39,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/4X90Q59481,[object Object],4.5,(152),"Short cable adapter is easy to stow away in your sleeve, bag or backpack",Fast data transfer from USB-A devices,Date rate 5Gbps,Power USB A Devices up to 5V/2A
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/GX90M44578/GX90M44578-560x450-01.bafc59f347f05e6c.png,,,,,,Lenovo USB-C to VGA Adapter Cable,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/GX90M44578,GX90M44578,Key Details,No extra drivers required,USB-C to VGA conversion for displays with resolutions up to 1920x1200,"Lightweight, portable and sleek",Designed to accompany your Lenovo system,$14.99,"Ships FREE by Thu, Oct 14",$0.45,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/GX90M44578,[object Object],4.5,(134),No extra drivers required,USB-C to VGA conversion for displays with resolutions up to 1920x1200,"Lightweight, portable and sleek",Designed to accompany your Lenovo system
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X90Q59480/4X90Q59480-560x450-01.7e7f93a7efa50319.png,,,,,,Lenovo USB-C to USB-C Cable 2m,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/cables/4X90Q59480,4X90Q59480,Key Details,Date rate 5Gbps 20V/3A 60WLength: 2m (6‘6''),"Note: Depending on many factors such as the processing capability of the host and peripheral devices, file attributes, and other factors related to system configuration and operating environments, the actual data transfer rate will be slower than 5 Gbit/s on USB 3.1 Gen 1 (USB 3.0) connectors, slower than 10 Gbit/s on USB 3.1 Gen 2 connectors, and slower than 20Gbit/s on USB 3.2 connectors.",,,$23.99,Ships in 1+ month,$0.72,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/cables/4X90Q59480,[object Object],4.2,(105),Date rate 5Gbps 20V/3A 60WLength: 2m (6‘6''),"Note: Depending on many factors such as the processing capability of the host and peripheral devices, file attributes, and other factors related to system configuration and operating environments, the actual data transfer rate will be slower than 5 Gbit/s on USB 3.1 Gen 1 (USB 3.0) connectors, slower than 10 Gbit/s on USB 3.1 Gen 2 connectors, and slower than 20Gbit/s on USB 3.2 connectors.",,
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/0A36537/0A36537-560x450-01.f52877ab4b5e4109.png,,,,,,Lenovo DisplayPort to DisplayPort cable,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/cables/0A36537,0A36537,Key Details,Supporting a maximum bandwidth of 21.6 Gbps,Daisy chain support,Resolution supports 4k up to 2 displays,Length: 1.8m (70.8in),$32.99,"Ships FREE by Thu, Oct 14",$0.99,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/cables/0A36537,[object Object],4.5,(24),Supporting a maximum bandwidth of 21.6 Gbps,Daisy chain support,Resolution supports 4k up to 2 displays,Length: 1.8m (70.8in)
https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X90U90618/4X90U90618-560x450-01.d87d35f316957375.png,,,,,,Lenovo Hybrid USB-C with USB-A Cable,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/cables/4X90U90618,4X90U90618,Key Details,Date rate 10Gbps,USB-C support max 100W @20V/5A,USB-A support max 7.5W @5V/1.5A,Length: 1m (3‘3''),$30.99,Ships FREE in 4-7 business days,$0.93,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/cables/4X90U90618,[object Object],4.2,(82),Date rate 10Gbps,USB-C support max 100W @20V/5A,USB-A support max 7.5W @5V/1.5A,Length: 1m (3‘3'')
https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X90R61023/4X90R61023-560x450-01.73b8fdea44283f77.png,,,,,,Lenovo DisplayPort to HDMI 2.0b Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/4X90R61023,4X90R61023,Key Details,Acitve adapter,Plug-and-play DisplayPort male input,HDMI 2.0b female output,Maximum resolution of UHD 4K 3840*2160@60Hz,$46.99,Ships FREE in 4-7 business days,$1,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/4X90R61023,[object Object],4.1,(102),Acitve adapter,Plug-and-play DisplayPort male input,HDMI 2.0b female output,Maximum resolution of UHD 4K 3840*2160@60Hz
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GX90T33021/GX90T33021-560x450-01.ce7af701ae80b79a.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GX90T33021/GX90T33021-560x450-02.095277f8272d5693.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,"Lenovo USB-C 3-in-1 Travel Hub, 4K HDMI, VGA, USB 3.0, Simple Plug and Play",https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/GX90T33021,GX90T33021,Key Details,"Plug and play, driver free",4K@30Hz via HDMI™ or 1920*1080p@60Hz via VGA or dual displays,Fast Data Transfer via USB 3.0 @5Gbps,"Note: Depending on many factors such as the processing capability of the host and peripheral devices, file attributes, and other factors related to system configuration and operating environments, the actual data transfer rate will be slower than 5 Gbit/s on USB 3.1 Gen 1 (USB 3.0) connectors, slower than 10 Gbit/s on USB 3.1 Gen 2 connectors, and slower than",$31.99,"Ships FREE by Thu, Oct 14",$0.96,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/GX90T33021,[object Object],4.3,(64),"Plug and play, driver free",4K@30Hz via HDMI™ or 1920*1080p@60Hz via VGA or dual displays,Fast Data Transfer via USB 3.0 @5Gbps,"Note: Depending on many factors such as the processing capability of the host and peripheral devices, file attributes, and other factors related to system configuration and operating environments, the actual data transfer rate will be slower than 5 Gbit/s on USB 3.1 Gen 1 (USB 3.0) connectors, slower than 10 Gbit/s on USB 3.1 Gen 2 connectors, and slower than"
https://p2-ofp.static.pub/fes/cms/2021/08/29/fjhjv3xj704fiptowm20bjpiie3b5q627279.png,https://p1-ofp.static.pub/fes/cms/2021/08/29/e1l57eoy2tbz6a2d3wj4sdi7pktqct088567.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo USB-C Port Replicator,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/4XH1C12753,4XH1C12753,Key Details,"One cable, seven Options",Slim and compact design,"Plug and Play, essential USB-C hub",Easy to use and driver-free,$49.99,Ships FREE in 4-7 business days,$1,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/4XH1C12753,[object Object],4.6,(5),"One cable, seven Options",Slim and compact design,"Plug and Play, essential USB-C hub",Easy to use and driver-free
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/57Y4393/57Y4393-560X450-01.12983b60baca5f98.png,,,,,,Lenovo DisplayPort to VGA Monitor Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/57Y4393,57Y4393,Key Details,Support for &nbspattaching a VGA analog monitor,192 x 12 WUXGA maximum resolution,2-cm (7.8 in) cable length,DisplayPort plug and VGA analog receptacle connectors,$39.99,"Ships FREE by Thu, Oct 14",$1,https://www.lenovo.com/us/en/p/accessories-and-software/cables-and-adapters/adapters/57Y4393,[object Object],4.7,(29),Support for &nbspattaching a VGA analog monitor,192 x 12 WUXGA maximum resolution,2-cm (7.8 in) cable length,DisplayPort plug and VGA analog receptacle connectors
