web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
1632063539-1704,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Keystone 230V Through-The-Wall Air Conditioner, 14 1/2""H x 24 1/4""W x 20 5/16""D,...0.0 out of 5 stars."
1632063539-2423,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim High-Capacity HVAC Pleated Air Filters, Merv 9, 15"" x 20"", Case Of 120.0 out of 5 stars."
1632063539-2253,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Accumulair Diamond Air Filters, 22"" x 22"" x 1"", Set Of 4 Filters0.0 out of 5 stars."
1632063539-2202,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont High Allergen Care™ Electrostatic Air Filters, 23-1/4""H x 21-1/2""W x 1""D,...0.0 out of 5 stars."
1632063539-2354,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont Ultimate Air Filters, 13-1/2"" x 23-1/2"" x 1"", Pack Of 4 Filters0.0 out of 5 stars."
1632063539-1941,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont ProClear Ultra 9200 Air Filters, 36""H x 14""W x 1""D, Pack Of 4 Air Filters0.0 out of 5 stars."
1632063236-1266,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Heaters (112),https://www.officedepot.com/a/browse/heaters/N=5+1176148/,"Vie Air 1500-Watt Fan Heater, Home, 5""H x 9""W x 10-3/4""D, White0.0 out of 5 stars."
1632063539-2275,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim Pro HVAC Air Filters, Merv 9, 16""W x 30""H x 1""D, Pack Of 120.0 out of 5 stars."
1632063290-1523,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Hunter® Builder Plus 52"" 3-Speed Ceiling Fan with 3 Lights, White4.4 out of 5 stars. 19 reviews"
1632063539-2062,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim Pro HVAC Pleated Air Filters, Merv 13, 20"" x 25"" x 1"", Case Of 120.0 out of 5 stars."
1632063236-1337,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Heaters (112),https://www.officedepot.com/a/browse/heaters/N=5+1176148/,Hanover 7-Ft. Square Wicker Propane Patio Heater - Gas - Propane - 14.07 kW - 16...
1632063539-1706,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim Pro HVAC Pleated Air Filters, Merv 11, 16"" x 25"" x 1"", Case Of 120.0 out of 5 stars."
1632063290-1519,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"IRIS Woozoo C18T Oscillating Circulating Desk Fan, Black4.8 out of 5 stars. 20 reviews"
1632063539-1771,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim Pro HVAC Pleated Air Filters, Merv 9, 12"" x 12"" x 1"", Case Of 120.0 out of 5 stars."
1632063200-1218,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Humidifiers (63),https://www.officedepot.com/a/browse/humidifiers/N=5+1176149/,"Pure Enrichment MistAire Travel Ultrasonic Cool Mist Water Bottle Humidifier, 5-..."
1632063539-1930,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont Ultimate Air Filters, 21-1/4"" x 16-1/4"" x 1"", Pack Of 4 Filters0.0 out of 5 stars."
1632063539-1938,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, High-Capacity Merv 7 Pro, 20""H x 14""W x 1""D, Set Of 24...0.0 out of 5 stars."
1632063539-2120,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont Ultimate Air Filters, 19-1/2"" x 21"" x 1"", Pack Of 4 Filters0.0 out of 5 stars."
