web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,name
1632302167-17302,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,,https://www.officedepot.com/a/browse/shredders/Ne=100&N=5+1205526&cbxRefine=1205496/,Swingline® GBC® TAA Compliant 30 Sheet Cross-Cut Shredder CX30-550.0 out of 5 stars.
1632316751-21598,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projector Accessories (867),https://www.officedepot.com/a/browse/projector-accessories/N=5+1123274/,Projector Lamps (361),https://www.officedepot.com/a/browse/projector-lamps/N=5+1123276/,Premium Power Products Lamp for Hitachi Front Projector - 310 W Projector Lamp -...0.0 out of 5 stars.
1632301016-12141,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"15 - 18 fpm				
																				
																			
																			 
																				
																					(44)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=879225/,"Ativa® 27-Sheet Cross-Cut Shredder, PRO27C-XL0.0 out of 5 stars."
1632301063-12284,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"19+ fpm				
																				
																			
																			 
																				
																					(75)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=879226/,"Ideal.™ 2465 21 Sheet Strip-Cut Shredder, IDEDSH0068H0.0 out of 5 stars."
1632315609-20684,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projector Accessories (867),https://www.officedepot.com/a/browse/projector-accessories/N=5+1123274/,Projector Screens (290),https://www.officedepot.com/a/browse/projector-screens/N=5+1123280/,"Elite Screens VMAX2 Series VMAX150XWH2 - Projection screen - ceiling mountable, ..."
1632301764-15472,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"$50 - $100				
																				
																			
																			 
																				
																					(43)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=391742/,"Ativa® 10-Sheet Cross-Cut Shredder, C187-H4.4 out of 5 stars. 494 reviews"
1632302167-17362,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,,https://www.officedepot.com/a/browse/shredders/Ne=100&N=5+1205526&cbxRefine=1205496/,"Ativa® 7-Sheet High-Security Shredder, V391HS Bundle0.0 out of 5 stars."
1632316751-21572,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projector Accessories (867),https://www.officedepot.com/a/browse/projector-accessories/N=5+1123274/,Projector Lamps (361),https://www.officedepot.com/a/browse/projector-lamps/N=5+1123276/,Premium Power Products Lamp for Infocus Front Projector - 270 W Projector Lamp -...
1632300802-11189,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"CDs/DVDs				
																				
																			
																			 
																				
																					(159)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=869841/,"Ideal.™ 3104 30 Sheet Strip-Cut Shredder, IDEDSH0314H"
1632316751-21654,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projector Accessories (867),https://www.officedepot.com/a/browse/projector-accessories/N=5+1123274/,Projector Lamps (361),https://www.officedepot.com/a/browse/projector-lamps/N=5+1123276/,Panasonic Projector Lamp - Projector Lamp
1632301404-13694,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,-9,https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=391694/,GBC ShredMaster PX12-06 Cross-Cut Paper Shredder - Non-continuous Shredder - Sup...1.0 out of 5 stars. 1 review
