name
Control Panel
Foodi® Dual Heat Air Fry Oven Crumb Tray
Ninja® 5.5-Qt. Replacement Air Fryer Basket
Ninja® Foodi™ Silicone Mitts
Air Fryer Crisper Plate
Air Fryer 5.5-QT Replacement Base
DualZone™ Air Fryer Broil Rack
Ninja® Air Fryer Max XL 5.5-Qt. Replacement Base
Ninja Air Fryer Cookbook for Beginners
Multi-Layer Insert
Ninja® Air Fryer 4-Qt. Replacement Base
Mid Level Rack
DualZone™ Air Fryer Crisper Plate
Broil Rack
Ninja® Foodi® Air Fryer Left Basket
Ninja® Air Fryer Basket
Ninja® Foodi® Air Fryer Right Basket
Air Fryer 5.5-Qt. Replacement Base
DualZone™ Air Fryer Multi-Layer Rack
Foodi® Dual Heat Air Fry Oven Air Fry Basket
