web-scraper-order,web-scraper-start-url,category,category-href,name
1631789579-626,https://www.sharkclean.com/sharkus/parts_accessories,Corded Stick Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/corded_stick_vacuums_pa,Flexible Hose
1631789399-399,https://www.sharkclean.com/sharkus/parts_accessories,Robot Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/robot_vacuums_pa,Shark IQ Robot™ Post-Motor Filter Door
1631789616-706,https://www.sharkclean.com/sharkus/parts_accessories,Canister Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/canister_vacuums_pa,Pet Power Brush
1631789399-380,https://www.sharkclean.com/sharkus/parts_accessories,Robot Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/robot_vacuums_pa,Shark® AI Robot Series Replenishment Kit
1631789616-696,https://www.sharkclean.com/sharkus/parts_accessories,Canister Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/canister_vacuums_pa,Dust Cup
1631789472-460,https://www.sharkclean.com/sharkus/parts_accessories,Handheld Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/handheld_vacuums_pa,Mattress Tool
1631789302-274,https://www.sharkclean.com/sharkus/parts_accessories,Vacuum and Steam - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/vacuum_and_steam_pa,Shark® Steam & Scrub Dirt Grip® Soft Scrub washable pads
1631789534-575,https://www.sharkclean.com/sharkus/parts_accessories,Cordless Stick Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/cordless_stick_vacuums_pa,Pet Multi-Tool
1631789579-611,https://www.sharkclean.com/sharkus/parts_accessories,Corded Stick Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/corded_stick_vacuums_pa,Foam & Felt Filter Kit
1631789579-592,https://www.sharkclean.com/sharkus/parts_accessories,Corded Stick Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/corded_stick_vacuums_pa,Brushroll Cover
1631789616-688,https://www.sharkclean.com/sharkus/parts_accessories,Canister Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/canister_vacuums_pa,Dust Cup
1631789639-732,https://www.sharkclean.com/sharkus/parts_accessories,Air Purifiers- Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/air_purifiers_pa,Remote Control
1631789399-401,https://www.sharkclean.com/sharkus/parts_accessories,Robot Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/robot_vacuums_pa,Shark® Robot Dust Bin
1631789399-360,https://www.sharkclean.com/sharkus/parts_accessories,Robot Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/robot_vacuums_pa,Shark IQ Robot™ Brushroll Door For Multi-Surface Brushroll
1631789399-406,https://www.sharkclean.com/sharkus/parts_accessories,Robot Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/robot_vacuums_pa,Shark IQ Robot™ Brushroll Door For Self-Cleaning Brushrol
1631789616-711,https://www.sharkclean.com/sharkus/parts_accessories,Canister Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/canister_vacuums_pa,Dust-Away™ Hard Floor Attachment
1631789579-665,https://www.sharkclean.com/sharkus/parts_accessories,Corded Stick Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/corded_stick_vacuums_pa,Dust Cup Filter Frame
1631789472-458,https://www.sharkclean.com/sharkus/parts_accessories,Handheld Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/handheld_vacuums_pa,Crevice Tool
1631789399-410,https://www.sharkclean.com/sharkus/parts_accessories,Robot Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/robot_vacuums_pa,Shark® Robot Fluid Reservoir
1631789616-695,https://www.sharkclean.com/sharkus/parts_accessories,Canister Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/canister_vacuums_pa,Floor Kit Handle_Lift Around LA400
1631789399-417,https://www.sharkclean.com/sharkus/parts_accessories,Robot Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/robot_vacuums_pa,Shark IQ Robot™ Post-Motor Filter Door
1631789579-623,https://www.sharkclean.com/sharkus/parts_accessories,Corded Stick Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/corded_stick_vacuums_pa,Motorized Floor Nozzle
1631789432-449,https://www.sharkclean.com/sharkus/parts_accessories,Hardfloor Cleaners - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/hardfloor_cleaners_pa,Spray Nozzle - KD400 Series
1631789399-362,https://www.sharkclean.com/sharkus/parts_accessories,Robot Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/robot_vacuums_pa,Shark ION™ Robot Brushroll Kit
1631789534-515,https://www.sharkclean.com/sharkus/parts_accessories,Cordless Stick Vacuums - Parts/Accessories,https://www.sharkclean.com/sharkus/parts_accessories/cordless_stick_vacuums_pa,Charging Cord for 7-Cell Battery
