href,Name
https://moto.hubbleconnected.com/en/products/1770/MotorolaORBIT,Motorola ORBIT
https://moto.hubbleconnected.com/en/products/5709/MotorolaFOCUS68,Motorola FOCUS68
https://moto.hubbleconnected.com/en/products/4966/MotorolaFOCUS67,Motorola FOCUS67
https://moto.hubbleconnected.com/en/products/4266/MotorolaFOCUS72,Motorola FOCUS72
https://moto.hubbleconnected.com/en/products/4265/MotorolaFOCUS86,Motorola FOCUS86
https://moto.hubbleconnected.com/en/products/7130/MotorolaFOCUS89,Motorola FOCUS89
https://moto.hubbleconnected.com/en/products/16/MotorolaFOCUS86T,Motorola FOCUS86T
https://moto.hubbleconnected.com/en/products/17/MotorolaFOCUS85,Motorola FOCUS85
https://moto.hubbleconnected.com/en/products/21/MotorolaFOCUS73,Motorola FOCUS73
https://moto.hubbleconnected.com/en/products/7083/MotorolaFOCUS71,Motorola FOCUS71
"https://moto.hubbleconnected.com/en/products/19/MotorolaFOCUS66,FOCUS66-2","Motorola FOCUS66, FOCUS66-2"
https://moto.hubbleconnected.com/en/products/20/MotorolaFOCUS50,Motorola FOCUS50
https://moto.hubbleconnected.com/en/products/18/MotorolaFOCUS360,Motorola FOCUS360
