href,Name
https://www.motorola.com/us/motorola-essentials-glass-screen-protector-for-moto-g-pure-2021/p,Motorola Essentials Glass Screen Protector for Moto G Pure (2021)
https://www.motorola.com/us/motorola-essentials-moto-g-pure-2021-protective-case/p,Motorola Essentials Moto G Pure (2021) Protective Case
https://www.motorola.com/us/cellhelmet-altitude-x-series-for-moto-g-pure-purple/p,Cellhelmet Altitude X Series for moto g pure-Purple
https://www.motorola.com/us/cellhelmet-altitude-x-series-for-moto-g-pure-pink/p,Cellhelmet Altitude X Series for moto g pure-Pink
https://www.motorola.com/us/cellhelmet-altitude-x-series-for-moto-g-pure-clear/p,Cellhelmet Altitude X Series for moto g pure-Clear
https://www.motorola.com/us/cellhelmet-altitude-x-series-for-moto-g-pure-blue/p,Cellhelmet Altitude X Series for moto g pure-Blue
https://www.motorola.com/us/cellhelmet-altitude-x-series-for-moto-g-pure-black/p,Cellhelmet Altitude X Series for moto g pure-Black
https://www.motorola.com/us/cellhelmet-altitude-x-series-for-moto-g-pure-red/p,Cellhelmet Altitude X Series for moto g pure-Red
https://www.motorola.com/us/itskins-spectrum-clear-antimicrobial-case-for-moto-g-pure-smoke/p,itskins spectrum clear antimicrobial case for moto g pure-smoke
https://www.motorola.com/us/itskins-spectrum-clear-antimicrobial-case-for-moto-g-pure-clear/p,itskins spectrum clear antimicrobial case for moto g pure-clear
https://www.motorola.com/us/itskins-glass-screen-protector-for-moto-g-pure-clear/p,itskins glass screen protector for moto g pure-clear
https://www.motorola.com/us/itskins-spectrum-silk-antimicrobial-case-for-moto-g-pure-black/p,itskins spectrum silk antimicrobial case for moto g pure-black
