href,Name
https://www.motorola.com/us/accessories-razr-gen-2-sleeve/p,razr sleeve (2nd Gen)
https://www.motorola.com/us/evutec-s-series-karbon-for-razr-5g/p,Evutec S-Series Karbon for razr 5G
https://www.motorola.com/us/case-mate-tough-case-for-motorola-razr-5g/p,Case-Mate Tough Case for Motorola Razr 5G
https://www.motorola.com/us/tech21-evoclear-case-for-razr-5g/p,Tech21 EvoClear case for razr (5G)
