web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
1632679566-10087,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Inkjet Printers   (26),https://www.officedepot.com/a/browse/hp-inkjet-printers/N=5+690300/,HP Tango Smart Home 2RY54A Wireless Color Inkjet Printer4.1 out of 5 stars. 275 reviews
1632679580-10127,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet MFP M234sdwe Wireless Black & White All-in-One Printer With HP+4.3 out of 5 stars. 27 reviews
1632679580-10138,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet M681f Color Laser All-In-One Printer0.0 out of 5 stars.
1632679542-10012,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise M776zs Color Laser All-In-One Printer5.0 out of 5 stars. 2 reviews
1632679580-10142,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet M682z Laser Multifunction Printer - Color - For Plain Paper Print5.0 out of 5 stars. 1 review
1632679566-10091,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Inkjet Printers   (26),https://www.officedepot.com/a/browse/hp-inkjet-printers/N=5+690300/,HP OfficeJet Pro 8210 Wireless Color Inkjet Printer
1632679542-10040,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Pro MFP M130fw Wireless Monochrome (Black And White) All-In-One Prin...
1632679580-10096,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP PageWide Pro 477dw Wireless Color Inkjet All-In-One Printer4.1 out of 5 stars. 247 reviews
1632679542-10035,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise M455dn Color Laser Printer
1632679580-10114,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Enterprise MFP M430f Monochrome (Black And White) Laser All-In-One P...4.0 out of 5 stars. 4 reviews
1632679542-10036,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Pro M15w Wireless Monochrome (Black And White) Laser Printer
1632679566-10072,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Inkjet Printers   (26),https://www.officedepot.com/a/browse/hp-inkjet-printers/N=5+690300/,HP OfficeJet Pro 8035e All-in-One Wireless Color Printer (Coral) With HP+4.1 out of 5 stars. 511 reviews
1632679542-10042,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet MFP M234dw Wireless Monochrome (Black And White) Laser All-In-One Pr...
1632679566-10080,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Inkjet Printers   (26),https://www.officedepot.com/a/browse/hp-inkjet-printers/N=5+690300/,HP Envy Photo 7855 Wireless Color Inkjet All-In-One Printer4.3 out of 5 stars. 3159 reviews
1632679542-10010,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise M578f Color All-In-One Printer4.7 out of 5 stars. 3 reviews
1632679566-10074,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Inkjet Printers   (26),https://www.officedepot.com/a/browse/hp-inkjet-printers/N=5+690300/,HP DeskJet 4155e Wireless All-in-One Color Printer With HP+3.6 out of 5 stars. 220 reviews
1632679580-10133,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Pro MFP M227fdw Wireless Monochrome (Black And White) Laser All-In-O...4.4 out of 5 stars. 438 reviews
1632679580-10102,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,"HP OfficeJet Pro 8035e Wireless Color Inkjet All-In-One Printer With HP+, Basalt4.1 out of 5 stars. 626 reviews"
1632679580-10139,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet M681z Color Laser All-In-One Printer0.0 out of 5 stars.
1632679580-10124,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP Neverstop Laser MFP 1202nw Monochrome (Black And White) All-In-One Printer4.0 out of 5 stars. 61 reviews
1632679580-10111,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP Envy 6055 Wireless Color Inkjet All-In-One Printer4.0 out of 5 stars. 1253 reviews
1632679580-10144,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Enterprise Flow MFP M528c Monochrome (Black And White) Laser Printer4.0 out of 5 stars. 2 reviews
1632679580-10106,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Pro MFP M479fdw Wireless Color Laser All-In-One Printer4.4 out of 5 stars. 751 reviews
1632679566-10090,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Inkjet Printers   (26),https://www.officedepot.com/a/browse/hp-inkjet-printers/N=5+690300/,HP PageWide Pro 552dw Wireless Color Inkjet Printer
1632679542-10022,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Pro MFP M428fdn Monochrome (Black And White) Laser All-In-One Printe...
1632679580-10132,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Pro MFP M29w Wireless Monochrome (Black And White) Laser All-In-One ...4.4 out of 5 stars. 459 reviews
1632679542-10007,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise M555dn Color Laser Printer5.0 out of 5 stars. 2 reviews
1632679542-10034,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet M653x Desktop Laser Printer - Color - 74 ppm Mono / 74 ppm Color - 1...
1632679580-10131,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Pro 500 M570dn Color Laser All-In-One Printer3.5 out of 5 stars. 61 reviews
1632679580-10130,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet MFP M234dwe Wireless Monochrome (Black And White) Laser All-In-One P...4.1 out of 5 stars. 60 reviews
1632679580-10112,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP Color LaserJet Enterprise MFP M578dn Color Laser All-In-One Printer4.5 out of 5 stars. 2 reviews
1632679580-10136,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Pro MFP M130fw Wireless Monochrome (Black And White) All-In-One Prin...3.9 out of 5 stars. 151 reviews
1632679580-10145,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet M681z Color Laser All-In-One Printer1.0 out of 5 stars. 1 review
1632679542-10050,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise M507x Monochrome (Black And White) Laser Printer
1632679542-10021,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise M635h Monochrome (Black And White) Laser All-In-One Print...
1632679542-10001,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP Neverstop MFP 1202w Wireless Laser All-In-One Monochrome Refillable Tank Prin...4.1 out of 5 stars. 95 reviews
1632679542-10060,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise MFP M528f Monochrome (Black And White) Laser Printer
1632679580-10103,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP OfficeJet Pro 7740 Wide-Format Wireless Color Inkjet All-In-One Printer4.3 out of 5 stars. 1146 reviews
1632679542-10024,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Pro M255dw Wireless Color Laser Printer
