url,product,category
https://www.academy.com/shop/pdp/three-square-womens-university-of-alabama-wild-lips-mineral-wash-graphic-t-shirt?sku=gray-x-large-alabama-crimson-tide,Three Square Women's University of Alabama Wild Lips Mineral Wash Graphic T-shirt,apparels
https://www.academy.com/shop/pdp/nike-mens-dallas-cowboys-ceedee-lamb-88-t-shirt?sku=navy-large-dallas-cowboys,Nike Men's Dallas Cowboys CeeDee Lamb 88 T-shirt,apparels
https://www.academy.com/shop/pdp/under-armour-mens-auburn-university-early-release-sideline-polo-shirt?sku=navy-orange-x-large-auburn-tigers,Under Armour Men's Auburn University Early Release Sideline Polo Shirt,apparels
https://www.academy.com/shop/pdp/nike-mens-houston-astros-jose-altuve-official-replica-bp-jersey?sku=navy-orange-medium-houston-astros,Nike Men's Houston Astros Jose Altuve Official Replica BP Jersey,apparels
https://www.academy.com/shop/pdp/fanatics-womens-texas-a-m-university-primary-logo-v-neck-short-sleeve-t-shirt?sku=maroon-medium-texas-a-m-aggies,Fanatics Women's Texas A&M University Primary Logo V-Neck Short Sleeve T-shirt,apparels
https://www.academy.com/shop/pdp/47-houston-texans-mvp-cap?sku=navy-one-size-houston-texans,'47 Houston Texans MVP Cap,apparels
https://www.academy.com/shop/pdp/outerstuff-toddler-girls-university-of-alabama-cheer-captain-jumper-dress?sku=red-4-toddler-alabama-crimson-tide,Outerstuff Toddler Girls' University of Alabama Cheer Captain Jumper Dress,apparels
https://www.academy.com/shop/pdp/new-era-womens-new-orleans-saints-brushed-cotton-raglan-contrast-binding-v-neck-t-shirt?sku=black-large-new-orleans-saints,New Era Women's New Orleans Saints Brushed Cotton Raglan Contrast Binding V-Neck T-Shirt,apparels
https://www.academy.com/shop/pdp/new-era-womens-houston-texans-brushed-cotton-raglan-contrast-binding-v-neck-t-shirt?sku=red-medium-houston-texans,New Era Women's Houston Texans Brushed Cotton Raglan Contrast Binding V-Neck T-Shirt,apparels
https://www.academy.com/shop/pdp/outerstuff-girls-mississippi-state-university-cheer-captain-jumper-dress?sku=maroon-5-youth-mississippi-state-bulldogs,Outerstuff Girls' Mississippi State University Cheer Captain Jumper Dress,apparels
https://www.academy.com/shop/pdp/outerstuff-girls-clemson-university-cheer-captain-jumper-dress?sku=orange-6-6x-youth-clemson-tigers,Outerstuff Girls' Clemson University Cheer Captain Jumper Dress,apparels
https://www.academy.com/shop/pdp/austin-fc-mens-prep-pregame-vibe-triblend-t-shirt?sku=charcoal-heather-medium-austin-fc,Austin FC Men's Prep Pregame Vibe Triblend T-shirt,apparels
https://www.academy.com/shop/pdp/logo-university-of-south-carolina-elite-chair-109222926?sku=south-carolina-gamecocks,Logo University of South Carolina Elite Chair,apparels
https://www.academy.com/shop/pdp/outerstuff-boys-austin-fc-slogan-short-sleeve-t-shirt?sku=gray-14-16-youth-austin-fc,Outerstuff Boys' Austin FC Slogan Short Sleeve T-shirt,apparels
https://www.academy.com/shop/pdp/adidas-youth-austin-fc-primary-replica-jersey?sku=black-medium-green-x-large-austin-fc,adidas Youth Austin FC Primary Replica Jersey,apparels
https://www.academy.com/shop/pdp/antigua-mens-university-of-houston-game-day-woven-fishing-shirt-119423529?sku=red-dark-01-xx-large-houston-cougars,Antigua Men's University of Houston Game Day Woven Fishing Shirt,apparels
https://www.academy.com/shop/pdp/team-beans-texas-a-m-university-clear-reusable-bag?sku=red-white-texas-a-m-aggies,Team Beans Texas A&M University Clear Reusable Bag,apparels
https://www.academy.com/shop/pdp/rico-university-of-georgia-car-flag?sku=black-georgia-bulldogs,Rico University of Georgia Car Flag,apparels
