Title,Title_URL
BCG Women’s Running Mesh Angle Shorts                                                                                         ,https://www.academy.com/shop/pdp/bcg-women%E2%80%99s-running-mesh-angle-shorts?sku=black-small
Under Armour Men's UA Tech Mesh Training Shorts 9 in                                                                            ,https://www.academy.com/shop/pdp/under-armour-mens-ua-tech-mesh-training-shorts-9-in?sku=black-medium
BCG Boys' Sport Compression Training Top                                                                                        ,https://www.academy.com/shop/pdp/bcg-boys-sport-compression-training-top?sku=black-small
BCG Girls' 3 in Basic Mesh Basketball Short                                                                                     ,https://www.academy.com/shop/pdp/bcg-girls-3-in-basic-mesh-basketball-short?sku=black-x-small
BCG Men's Turbo Mesh Top                                                                                                        ,https://www.academy.com/shop/pdp/bcg-mens-turbo-mesh-top?sku=navy-large
BCG Men's Running Shorts 7 in                                                                                                   ,https://www.academy.com/shop/pdp/bcg-mens-running-shorts-7-in?sku=black-medium
Nike Women's Dry Legend Short Sleeve Training T-shirt                                                                           ,https://www.academy.com/shop/pdp/nike-womens-dry-legend-short-sleeve-training-t-shirt?sku=dark-gray-heather-black-small
BCG Boys' Solid Compression Shorts                                                                                              ,https://www.academy.com/shop/pdp/bcg-boys-solid-compression-shorts?sku=black-large
BCG Men's Turbo Textured Short Sleeve T-shirt                                                                                   ,https://www.academy.com/shop/pdp/bcg-mens-turbo-textured-short-sleeve-t-shirt?sku=white-x-large
BCG Girls' Colorblock Honeycomb Shorts 3 in                                                                                     ,https://www.academy.com/shop/pdp/bcg-girls-colorblock-honeycomb-shorts-3-in?sku=black-small
BCG Girls' Dolphin Hem Knit Shorts                                                                                              ,https://www.academy.com/shop/pdp/bcg-girls-dolphin-hem-knit-shorts?sku=black-medium
Nike Men's Dri-FIT Challenger Brief-Lined Running Shorts 5 in                                                                   ,https://www.academy.com/shop/pdp/nike-mens-dri-fit-challenger-brief-lined-running-shorts-5-in?sku=gray-medium
BCG Girls' Turbo Crew Short Sleeve Training T-shirt                                                                             ,https://www.academy.com/shop/pdp/bcg-girls-turbo-crew-short-sleeve-training-t-shirt?sku=knockout-pink-medium
BCG Women's Seamless Low Impact Padded Sports Bra                                                                               ,https://www.academy.com/shop/pdp/bcg-womens-seamless-low-impact-padded-sports-bra?sku=white-x-large
Nike Men's Dry Icon Basketball Shorts                                                                                           ,https://www.academy.com/shop/pdp/nike-mens-dry-icon-basketball-shorts?sku=black-x-large
BCG Men's Performance 9 in Solid Compression Briefs                                                                             ,https://www.academy.com/shop/pdp/bcg-mens-performance-9-in-solid-compression-briefs?sku=black-medium
Capezio Girls' Future Star Basics Footed Tights                                                                                 ,https://www.academy.com/shop/pdp/capezio-girls-future-star-basics-footed-tights?sku=pink-x-small-small
BCG Boys’ Sport Compression Baselayer Long Sleeve Top                                                                         ,https://www.academy.com/shop/pdp/bcg-boys%E2%80%99-sport-compression-baselayer-long-sleeve-top?sku=black-large
Under Armour Women's Play Up 3.0 Shorts 3 in                                                                                    ,https://www.academy.com/shop/pdp/under-armour-womens-play-up-30-shorts-3-in?sku=black-medium
Nike Women's Dry Tempo Plus Size Shorts                                                                                         ,https://www.academy.com/shop/pdp/nike-womens-dry-tempo-plus-size-shorts?sku=black-wolf-gray-2x
BCG Women's Molded Cup Low Impact Sports Bra                                                                                    ,https://www.academy.com/shop/pdp/bcg-womens-molded-cup-low-impact-sports-bra?sku=black-large
BCG Women's Athletic Dolphin Hem Knit Shorts                                                                                    ,https://www.academy.com/shop/pdp/bcg-womens-athletic-dolphin-hem-knit-shorts?sku=red-medium
Nike Men's Dri-FIT Epic 2.0 Shorts 9 in                                                                                         ,https://www.academy.com/shop/pdp/nike-mens-dri-fit-epic-20-shorts-9-in?sku=black-x-large
BCG Girls' Colorblock Woven Shorts                                                                                              ,https://www.academy.com/shop/pdp/bcg-girls-colorblock-woven-shorts?sku=black-x-small
BCG Boys' Turbo Athletic Pants                                                                                                  ,https://www.academy.com/shop/pdp/bcg-boys-turbo-athletic-pants?sku=black-medium
BCG Women's Training Bike Shorts                                                                                                ,https://www.academy.com/shop/pdp/bcg-womens-training-bike-shorts?sku=white-05-medium
BCG Boys' Turbo Melange T-shirt                                                                                                 ,https://www.academy.com/shop/pdp/bcg-boys-turbo-melange-t-shirt?sku=silver-large
