web-scraper-order,web-scraper-start-url,product name,Category,Is_Leasable
1630429078-19715,https://www.bowflex.com/accessories/?start=0&sz=24,Bowflex SelectTech 2080 Barbell Weight Upgrade,accessories,FALSE
1630429070-19651,https://www.bowflex.com/accessories/?start=48&sz=24,Bowflex Machine Mat - 5' x 4',accessories,FALSE
1630429074-19679,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Hardware Card for Max Trainer M7,accessories,FALSE
1630429078-19719,https://www.bowflex.com/accessories/?start=0&sz=24,Single Function Hand Grips,accessories,FALSE
1630429078-19713,https://www.bowflex.com/accessories/?start=0&sz=24,Bowflex SelectTech 2080 Barbell Stand with Media Rack,accessories,FALSE
1630429074-19690,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Treadmill E-Stop Key,accessories,FALSE
1630429070-19657,https://www.bowflex.com/accessories/?start=48&sz=24,Bowflex Revolution Accessory Rack,accessories,FALSE
1630429070-19649,https://www.bowflex.com/accessories/?start=48&sz=24,Bowflex Preacher Curl Attachment,accessories,FALSE
1630429070-19645,https://www.bowflex.com/accessories/?start=48&sz=24,Bowflex Ab Crunch Shoulder Harness,accessories,FALSE
1630429070-19646,https://www.bowflex.com/bikes/compare/,"Bowflex VeloCore Bike - 22""",bikes,TRUE
1630429070-19647,https://www.bowflex.com/bikes/compare/,Bowflex C6 Bike,bikes,TRUE
1630429070-19648,https://www.bowflex.com/bikes/compare/,"Bowflex VeloCore Bike - 16""",bikes,TRUE
1630429070-19649,https://www.bowflex.com/max-trainer/compare/,Bowflex Max Trainer M9,max-trainer,TRUE
1630429070-19650,https://www.bowflex.com/max-trainer/compare/,Bowflex Max Trainer M6,max-trainer,TRUE
1630429070-19651,https://www.bowflex.com/home-gyms/compare/,Bowflex Revolution Home Gym,home-gyms,TRUE
1630429070-19652,https://www.bowflex.com/home-gyms/compare/,Bowflex Xtreme 2 SE Home Gym,home-gyms,TRUE
1630429070-19653,https://www.bowflex.com/selecttech/compare/,Bowflex SelectTech 1090 Dumbbells,Dumbbells,FALSE
1630429070-19654,https://www.bowflex.com/selecttech/compare/,Bowflex SelectTech 552 Dumbbells,Dumbbells,FALSE
1630429070-19655,https://www.bowflex.com/selecttech/2080-barbell/100874.html,Bowflex SelectTech 2080 Barbell with Curl Bar,barbell,FALSE
1630429070-19656,https://www.bowflex.com/selecttech/840-kettlebell/100790.html,Bowflex SelectTech 840 Kettlebell,kettlebell,FALSE
1630429070-19657,https://www.bowflex.com/selecttech/compare-benches/,Bowflex 5.1S Stowable Bench,benches,TRUE
1630429070-19658,https://www.bowflex.com/selecttech/compare-benches/,Bowflex 4.1S Stowable Bench,benches,TRUE
1630429070-19659,https://www.bowflex.com/treadmills/compare/,Bowflex Treadmill 10,treadmills,TRUE
1630429070-19660,https://www.bowflex.com/treadmills/compare/,Bowflex Treadmill 22,treadmills,TRUE
