web-scraper-order,web-scraper-start-url,cat,cat-href,name
"1632428182-27309","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Early Learning","https://www.officedepot.com/a/browse/classroom-early-learning/N=5+1186190/","Scholastic 100 Words Grade 3, 8"" x 10 1/2"""
"1632426511-23553","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Scholastic Comprehension — Main Idea — Grades 2-3"
"1632426511-23045","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Carson-Dellosa Spectrum Reading, Grade 4"
"1632426666-24513","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Science","https://www.officedepot.com/a/browse/classroom-science/N=5+1186194/","Teacher Created Resources Lets Get This Day Started: Science, Grade 5"
"1632427067-25422","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Reading & Writing","https://www.officedepot.com/a/browse/classroom-reading-and-writing/N=5+1186193/","Scholastic Success With: Writing Workbook, Grade 3"
"1632426511-23005","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Carson-Dellosa Interactive Language Arts Notebook, Grade 2"
"1632426511-23112","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Spectrum Writing, Grade 33.5 out of 5 stars. 2 reviews"
"1632428284-27700","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Art","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/","Pacon® Rainbow Duo-Finish Kraft Paper Roll, 36"" x 1000', Brite Green4.0 out of 5 stars. 1 review"
"1632428182-27330","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Early Learning","https://www.officedepot.com/a/browse/classroom-early-learning/N=5+1186190/","Scholastic Teacher Resources Phonics First Little Readers, Grades K To 2nd, Set ...0.0 out of 5 stars."
"1632428182-27507","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Early Learning","https://www.officedepot.com/a/browse/classroom-early-learning/N=5+1186190/","Scholastic Comprehension — Inference — Grades 2-30.0 out of 5 stars."
"1632426666-24550","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Science","https://www.officedepot.com/a/browse/classroom-science/N=5+1186194/","Shell Education 180 Days Of Science, Grade 6"
"1632427789-26975","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Language Arts","https://www.officedepot.com/a/browse/classroom-language-arts/N=5+1186191/","Scholastic Little Leveled Readers Box Set — Level B"
"1632426666-24558","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Science","https://www.officedepot.com/a/browse/classroom-science/N=5+1186194/","Quarry Books QPG Outdoor Science Labs For Kids, Grades 1-5"
"1632426511-23285","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Thinking Kids® Big Skills For Little Hands® Color & Fold Workbook, Grades Pr..."
"1632426511-23063","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Shell Education 180 Days Of Social Studies, Grade 6"
"1632428284-27621","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Art","https://www.officedepot.com/a/browse/classroom-art/N=5+1186189/","Pacon® Rainbow Duo-Finish Kraft Paper Roll, 36"" x 1000', Emerald5.0 out of 5 stars. 2 reviews"
"1632426511-23714","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Carson-Dellosa™ Evidence-Based Reading Workbook, Grade K"
"1632427289-26129","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Math","https://www.officedepot.com/a/browse/classroom-math/N=5+1186192/","QuickStudy Grade Booster Pack, Algebra0.0 out of 5 stars."
"1632426511-23765","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Carson-Dellosa Standards-Based Connections Reading Workbook, Grade 3"
"1632426511-23720","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Shell Education 180 Days Of Reading Workbook, Grade 4"
"1632426666-24619","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Science","https://www.officedepot.com/a/browse/classroom-science/N=5+1186194/","Carson-Dellosa™ Common Core 4 Today Workbook, Grade 2"
"1632426511-23900","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Carson-Dellosa™ Evidence-Based Reading Workbook, Grade 5"
"1632428182-27420","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Early Learning","https://www.officedepot.com/a/browse/classroom-early-learning/N=5+1186190/","iSprowt Fun Science Kits For Kids, Weather And Natural Disasters, Kindergarten t..."
"1632426570-24107","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Social Studies","https://www.officedepot.com/a/browse/classroom-social-studies/N=5+1186195/","Hygloss My Passport Books, Pre-K - College, Pack Of 24"
"1632426511-23575","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Merriam-Webster's Thesaurus, Pack Of 3"
"1632426511-23250","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Shell Education Getting To The Core Of Writing: Essential Lessons For Every Stud..."
"1632426511-23302","https://www.officedepot.com/a/browse/instructional-resources/N=5+1186188/?cm_sp=school_supplies-_-shop-all_learn-from-anywhere_shopbysubject-_-marketing_learn-from-anywhere-solutions_main_7_4_0&promo_name=school_supplies&promo_id=school_supplies-shop-all-learn-from-anywhere&promo_creative=shop-all_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_7_4_0","Classroom Teaching Resources","https://www.officedepot.com/a/browse/classroom-teaching-resources/N=5+1186196/","Teacher Created Materials Matter Matters Book Set, Grades K - 2, Set Of 5 Books"
