web-scraper-order,web-scraper-start-url,cat,cat-href,subcat,subcat-href,name
"1632423055-18130","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","K-Cups","https://www.officedepot.com/a/browse/coffee/N=5+1154874&cbxRefine=1507014/","Green Mountain Coffee® Single-Serve Coffee K-Cup®, Kenyan Highlands, Carton Of 2..."
"1632424655-19127","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/beverages/N=5+1154865/?cm_sp=breakroom-_-beverages_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_2_0&promo_name=breakroom&promo_id=breakroom-beverages-learn-from-anywhere&promo_creative=beverages_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_2_0","Juice   (67)","https://www.officedepot.com/a/browse/juice/N=5+1154868/","Honest Kids Organic Juice Drink Variety Pack, 6.75 Fl Oz, Pack Of 32"
"1632421954-17001","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/breakroom/N=5+530419/?cm_sp=breakroom-_-shopall_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_4_0&promo_name=breakroom&promo_id=breakroom-shopall-learn-from-anywhere&promo_creative=shopall_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_4_0","Dinnerware","https://www.officedepot.com/a/browse/dinnerware/N=5+1214753/","Martha Stewart Melamine Dinnerware Set, Red"
"1632422417-17524","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Hot Cups & Lids   (413)","https://www.officedepot.com/a/browse/hot-cups-and-lids/N=5+1154879/","Highmark® Compostable Hot Coffee Cups, 10 Oz, White, Pack Of 50"
"1632424590-19019","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/beverages/N=5+1154865/?cm_sp=breakroom-_-beverages_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_2_0&promo_name=breakroom&promo_id=breakroom-beverages-learn-from-anywhere&promo_creative=beverages_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_2_0","Tea   (249)","https://www.officedepot.com/a/browse/tea/N=5+1154870/","RISE NA Pu'erh Tea, 8 Oz, Bag Of 200 Sachets"
"1632423055-18125","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","K-Cups","https://www.officedepot.com/a/browse/coffee/N=5+1154874&cbxRefine=1507014/","Copper Moon Single-Serve Coffee K-Cups, Discovery Pack, Pack Of 80 K-Cups"
"1632424809-19237","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/beverages/N=5+1154865/?cm_sp=breakroom-_-beverages_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_2_0&promo_name=breakroom&promo_id=breakroom-beverages-learn-from-anywhere&promo_creative=beverages_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_2_0","Energy & Nutrition Drinks   (122)","https://www.officedepot.com/a/browse/energy-and-nutrition-drinks/N=5+1154866/","Sqwincher Powder Packs™, Cool Citrus, 47.66 Oz, Case Of 16"
"1632424809-19268","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/beverages/N=5+1154865/?cm_sp=breakroom-_-beverages_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_2_0&promo_name=breakroom&promo_id=breakroom-beverages-learn-from-anywhere&promo_creative=beverages_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_2_0","Energy & Nutrition Drinks   (122)","https://www.officedepot.com/a/browse/energy-and-nutrition-drinks/N=5+1154866/","ENSURE PLUS Original Vanilla Meal Replacement Nutrition Shakes, 8 Oz, Pack Of 24..."
"1632422722-17787","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee Makers","https://www.officedepot.com/a/browse/coffee-makers/N=5+1176154/","BUNN Infusion Series Soft Heat Single Coffee Server Docking Stand, Stainless Ste..."
"1632423552-18283","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee   (548)","https://www.officedepot.com/a/browse/coffee/N=5+1154874/","Eight O'Clock® Single-Serve Coffee K-Cup®, Decaffeinated, Original, Carton Of 24"
"1632422417-17526","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Hot Cups & Lids   (413)","https://www.officedepot.com/a/browse/hot-cups-and-lids/N=5+1154879/","Mr. Coffee Altona 3-Piece Stainless-Steel Thermal Travel Bottle Set, 27 Oz, Asso..."
"1632423552-18269","https://www.officedepot.com/cm/marketing/learn-from-anywhere-solutions","","https://www.officedepot.com/a/browse/coffee-and-coffee-supplies/N=5+1154872/?cm_sp=breakroom-_-coffee_learn-from-anywhere_breaktime-_-marketing_learn-from-anywhere-solutions_main_8_3_0&promo_name=breakroom&promo_id=breakroom-coffee-learn-from-anywhere&promo_creative=coffee_learn-from-anywhere&promo_position=marketing_learn-from-anywhere-solutions_main_8_3_0","Coffee   (548)","https://www.officedepot.com/a/browse/coffee/N=5+1154874/","Green Mountain Coffee® Single-Serve Coffee K-Cup®, Decaffeinated, Variety Pack, ..."
