web-scraper-order,web-scraper-start-url,cat,cat-href,subcat,subcat-href,name
1632411546-9517,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Hand Book Journal Co. Travelogue Drawing Journal, 5 1/2"" x 5 1/2"", Ivory/Black, ..."
1632410890-7281,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"Great Papers!® Holiday-Themed Programs, Golden Bells Tri-Fold, 3 11/16"" x 8 1/2""..."
1632411311-8552,https://www.officedepot.com/a/browse/paper/N=5+530715/,Post it & Self Stick Notes   (468),https://www.officedepot.com/a/browse/sticky-notes-and-flags/N=5+549832/,Post-it & Sticky Notes   (309),https://www.officedepot.com/a/browse/sticky-notes/N=5+549834/,"Office Depot® Brand Pop Up Sticky Notes, 3"" x 3"", Assorted Pastel Colors, 100 Sh...4.7 out of 5 stars. 69 reviews"
1632410925-7344,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Place Cards & Tent Cards   (143),https://www.officedepot.com/a/browse/place-cards-and-tent-cards/N=5+530739/,"Gartner™ Studios Place Cards, Gold Foil Dots, Pack Of 505.0 out of 5 stars. 1 review"
1632410890-6714,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Pocket Invitations, A7, 5"" x 7"", Teal, Pack Of 190"
1632411106-8094,https://www.officedepot.com/a/browse/paper/N=5+530715/,Certificates & Covers   (225),https://www.officedepot.com/a/browse/certificates-and-covers/N=5+533805/,Certificate & Document Covers   (83),https://www.officedepot.com/a/browse/certificate-and-document-covers/N=5+533807/,"Geographics® Linen Mini Certificate Covers, 9-3/4"" x 6-1/2"", Navy, Pack Of 10 Co...4.8 out of 5 stars. 5 reviews"
1632410154-5570,https://www.officedepot.com/a/browse/paper/N=5+530715/,Cash Register & Thermal Rolls   (110),https://www.officedepot.com/a/browse/cash-register-and-thermal-rolls/N=5+530723/,Cash Register & Thermal Paper Rolls   (108),https://www.officedepot.com/a/browse/cash-register-and-thermal-paper-rolls/N=5+530724/,"ICONEX Thermal Paper - White - 2 1/4"" x 75 ft - 50 / Carton"
1632410890-6886,https://www.officedepot.com/a/browse/paper/N=5+530715/,Invitations & Cards   (1297),https://www.officedepot.com/a/browse/invitations-and-cards/N=5+530734/,Invitations   (661),https://www.officedepot.com/a/browse/invitations/N=5+549826/,"LUX Flat Cards, A7, 5 1/8"" x 7"", Candy Pink, Pack Of 1,0000.0 out of 5 stars."
1632411653-9910,https://www.officedepot.com/a/browse/paper/N=5+530715/,Notebooks & Pads   (1264),https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+530741/,Notebook & Pad Deals,https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+530741&cbxRefine=549384/,"Just Basics® Poly Spiral Notebook, 8 1/2"" x 10 1/2"", College Ruled, 140 Pages (7...4.8 out of 5 stars. 79 reviews"
1632412237-10019,https://www.officedepot.com/a/browse/paper/N=5+530715/,Notebooks & Pads   (1264),https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+530741/,Memo & Scratch Pads   (72),https://www.officedepot.com/a/browse/memo-and-scratch-pads/N=5+549827/,"Adams® Password Journal, 6 1/4"" x 3 1/4"", 48 Pages (24 Sheets)"
1632411546-9180,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Drawing Paper & Pads   (503),https://www.officedepot.com/a/browse/drawing-paper-and-pads/N=5+530720/,"Art Street® Sketch Book, 9"" x 9"", 40 Sheets, White4.7 out of 5 stars. 75 reviews"
1632411581-9814,https://www.officedepot.com/a/browse/paper/N=5+530715/,Art & Craft Paper   (710),https://www.officedepot.com/a/browse/art-and-craft-paper/N=5+530716/,Construction Paper   (160),https://www.officedepot.com/a/browse/construction-paper/N=5+530717/,"Canson XL Recycled Bristol Pad, 19"" x 24"", Fold-Over, Pad Of 25 Sheets0.0 out of 5 stars."
