web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,name
1632373193-934,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Video Equipment   (93),https://www.officedepot.com/a/browse/video-equipment/N=5+509470/,DVD & Blu-Ray Players,https://www.officedepot.com/a/browse/dvd-and-blu-ray-players/N=5+586242/,Intel DVD-ROM Drive - DVD-ROM - Serial ATA - Internal0.0 out of 5 stars.
1632373455-1070,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,Switchboxes,https://www.officedepot.com/a/browse/switchboxes/N=5+536532/,Tripp Lite 2-Port Manual VGA/SVGA Video Switch 3x HD15F Metal - 1600 x 1280 - VG...0.0 out of 5 stars.
1632373425-1063,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,Turntables,https://www.officedepot.com/a/browse/turntables/N=5+536533/,"Trexonic 3-Speed Vinyl Turntable Home Stereo System, Black4.0 out of 5 stars. 2 reviews"
1632373365-1026,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Presentation Kits,https://www.officedepot.com/a/browse/tv-presentation-kits/N=5+536531/,Fujitsu - Scanner pick roller - for fi-4340C0.0 out of 5 stars.
1632373365-1014,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Presentation Kits,https://www.officedepot.com/a/browse/tv-presentation-kits/N=5+536531/,HP 100 ADF Roller Replacement Kit5.0 out of 5 stars. 2 reviews
1632373228-955,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Satellite Radios & Accessories   (44),https://www.officedepot.com/a/browse/satellite-radios-and-accessories/N=5+567707/,Satellite Radios,https://www.officedepot.com/a/browse/satellite-radios/N=5+567709/,Acme United Portable AM/FM Crank Radio4.8 out of 5 stars. 4 reviews
1632373302-983,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Wall & Ceiling Mounts,https://www.officedepot.com/a/browse/tv-wall-and-ceiling-mounts/N=5+509464/,"Tripp Lite SR2POST 2-Post Open Frame Rack - 45U - 19""4.8 out of 5 stars. 4 reviews"
1632373193-917,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Video Equipment   (93),https://www.officedepot.com/a/browse/video-equipment/N=5+509470/,DVD & Blu-Ray Players,https://www.officedepot.com/a/browse/dvd-and-blu-ray-players/N=5+586242/,"DPI DH300B DVD Player - Black - DVD Video, Video CD - Progressive Scan - HDMI4.5 out of 5 stars. 148 reviews"
1632373394-1033,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Antennas,https://www.officedepot.com/a/browse/tv-antennas/N=5+536534/,"Mohu Antenna - Upto 60 Mile - Indoor, HDTV Antenna - White - Multi-directional4.6 out of 5 stars. 48 reviews"
1632373131-900,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Video Equipment   (93),https://www.officedepot.com/a/browse/video-equipment/N=5+509470/,TV/VCR & TV/DVD Combos,https://www.officedepot.com/a/browse/tvvcr-and-tvdvd-combos/N=5+586243/,"GPX TDE3274 32"" LED HDTV With DVD Player, White3.5 out of 5 stars. 8 reviews"
1632373333-997,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Universal Remotes,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"Optoma BR-5043N - Remote control - for Optoma S303, X3030.0 out of 5 stars."
1632373100-870,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Video Equipment   (93),https://www.officedepot.com/a/browse/video-equipment/N=5+509470/,Video Recorders,https://www.officedepot.com/a/browse/video-recorders/N=5+509474/,ATEN VGA to HDMI Converter with Audio-TAA Compliant - Functions: Signal Conversi...0.0 out of 5 stars.
1632373365-1018,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Presentation Kits,https://www.officedepot.com/a/browse/tv-presentation-kits/N=5+536531/,"Fujitsu - Scanner pad assembly - for fi-4120C2, 5120C, 6010N5.0 out of 5 stars. 1 review"
1632373455-1089,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,Switchboxes,https://www.officedepot.com/a/browse/switchboxes/N=5+536532/,StarTech.com 4x4 HDMI Matrix Switch with Picture-and-Picture Multiviewer or Vide...0.0 out of 5 stars.
1632373365-1013,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Presentation Kits,https://www.officedepot.com/a/browse/tv-presentation-kits/N=5+536531/,"Fujitsu - Scanner pick roller (pack of 2) - for fi-5750C, 6670, 6670A, 6750S, 67...0.0 out of 5 stars."
1632373228-951,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Satellite Radios & Accessories   (44),https://www.officedepot.com/a/browse/satellite-radios-and-accessories/N=5+567707/,Satellite Radios,https://www.officedepot.com/a/browse/satellite-radios/N=5+567709/,AcuRite Pro Color Weather Station with Wind Speed - Weather Forecaster330 ft - D...3.0 out of 5 stars. 4 reviews
1632373455-1068,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,Switchboxes,https://www.officedepot.com/a/browse/switchboxes/N=5+536532/,IOGEAR 4K 4-Port HDMI Switch with Remote - 3840 × 2160 - 4K - 4 x 1 - 4 x HDMI O...5.0 out of 5 stars. 6 reviews
1632373193-914,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Video Equipment   (93),https://www.officedepot.com/a/browse/video-equipment/N=5+509470/,DVD & Blu-Ray Players,https://www.officedepot.com/a/browse/dvd-and-blu-ray-players/N=5+586242/,"Ematic EPD116 Portable DVD Player - 10"" Display - 1024 x 600 - Blue - DVD-R, CD-...2.3 out of 5 stars. 3 reviews"
1632373455-1075,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,Switchboxes,https://www.officedepot.com/a/browse/switchboxes/N=5+536532/,Kramer VM-8H HDMI Splitter - 1 x 80.0 out of 5 stars.
1632373455-1076,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,Switchboxes,https://www.officedepot.com/a/browse/switchboxes/N=5+536532/,StarTech.com 4x4 VGA Video Matrix Switch Splitter with Audio - Share up to four ...0.0 out of 5 stars.
1632373539-1099,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Audio Devices   (19),https://www.officedepot.com/a/browse/audio-devices/N=5+651017/,Sound Bars,https://www.officedepot.com/a/browse/sound-bars/N=5+1457303/,Digital Innovations AcoustiX 4330200 2.0 Sound Bar Speaker - 3 W RMS - Black - 2...4.5 out of 5 stars. 4 reviews
1632373228-954,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Satellite Radios & Accessories   (44),https://www.officedepot.com/a/browse/satellite-radios-and-accessories/N=5+567707/,Satellite Radios,https://www.officedepot.com/a/browse/satellite-radios/N=5+567709/,"Sangean DT-400W Weather & Alert Radio, Yellow5.0 out of 5 stars. 3 reviews"
1632373193-930,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Video Equipment   (93),https://www.officedepot.com/a/browse/video-equipment/N=5+509470/,DVD & Blu-Ray Players,https://www.officedepot.com/a/browse/dvd-and-blu-ray-players/N=5+586242/,"Sylvania Single-Disc DVD Player, SDVD1041C0.0 out of 5 stars."
1632373100-883,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Video Equipment   (93),https://www.officedepot.com/a/browse/video-equipment/N=5+509470/,Video Recorders,https://www.officedepot.com/a/browse/video-recorders/N=5+509474/,"Black Box VGA/DVI/RGB to DVI-D Converter - Functions: Video Conversion, Video Sc...0.0 out of 5 stars."
1632373455-1069,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,Switchboxes,https://www.officedepot.com/a/browse/switchboxes/N=5+536532/,Belkin 4-Way HDMI Switch with Wireless Remote - 4 x 1 - 1 x HDMI Out2.5 out of 5 stars. 20 reviews
1632373333-1008,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Universal Remotes,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"NEC RMT-PJ36 - Projector remote control - for NEC M282X, M322W, M322X, M332XS, M...0.0 out of 5 stars."
