web-scraper-order,web-scraper-start-url,category,category-href,name
1632251962-210,https://www.officedepot.com/cm/brand/surface,Shop Surface Book,https://www.officedepot.com/catalog/search.do?Ntt=microsoft+surface+book&cm_sp=technology-_-microsoft_surface-book_-_-brand_surface-desktop_main_10_0_0&promo_name=technology&promo_id=technology-microsoft-surface-book&promo_creative=microsoft_surface-book&promo_position=brand_surface-desktop_main_10_0_0,"Microsoft Surface Book 3 15"" Touchscreen 2 in 1 Notebook - 3240 x 2160 - Intel C...0.0 out of 5 stars."
1632252044-504,https://www.officedepot.com/cm/brand/surface,Shop Surface Laptop,https://www.officedepot.com/catalog/search.do?Ntt=microsoft+surface+laptop&cm_sp=technology-_-microsoft_surface-laptop_-_-brand_surface-desktop_main_4_0_0&promo_name=technology&promo_id=technology-microsoft-surface-laptop&promo_creative=microsoft_surface-laptop&promo_position=brand_surface-desktop_main_4_0_0,"Microsoft Surface Book 3 13.5"" Touchscreen 2 in 1 Notebook - 3000 x 2000 - Intel...5.0 out of 5 stars. 1 review"
1632252011-374,https://www.officedepot.com/cm/brand/surface,Shop Surface Pro,https://www.officedepot.com/catalog/search.do?Ntt=microsoft+surface+pro&cm_sp=technology-_-microsoft_surface-pro_-_-brand_surface-desktop_main_7_0_0&promo_name=technology&promo_id=technology-microsoft-surface-pro&promo_creative=microsoft_surface-pro&promo_position=brand_surface-desktop_main_7_0_0,"Targus® Tempered Glass Screen Protector For Microsoft® Surface Pro, Clear0.0 out of 5 stars."
1632252011-284,https://www.officedepot.com/cm/brand/surface,Shop Surface Pro,https://www.officedepot.com/catalog/search.do?Ntt=microsoft+surface+pro&cm_sp=technology-_-microsoft_surface-pro_-_-brand_surface-desktop_main_7_0_0&promo_name=technology&promo_id=technology-microsoft-surface-pro&promo_creative=microsoft_surface-pro&promo_position=brand_surface-desktop_main_7_0_0,Microsoft Surface Go 2 - Tablet - Core m3 8100Y / 1.1 GHz - Win 10 Pro - 8 GB RA...0.0 out of 5 stars.
1632252044-468,https://www.officedepot.com/cm/brand/surface,Shop Surface Laptop,https://www.officedepot.com/catalog/search.do?Ntt=microsoft+surface+laptop&cm_sp=technology-_-microsoft_surface-laptop_-_-brand_surface-desktop_main_4_0_0&promo_name=technology&promo_id=technology-microsoft-surface-laptop&promo_creative=microsoft_surface-laptop&promo_position=brand_surface-desktop_main_4_0_0,"Microsoft Surface Laptop 3 15"" Touchscreen Notebook - 2496 x 1664 - Intel Core i...0.0 out of 5 stars."
1632252011-256,https://www.officedepot.com/cm/brand/surface,Shop Surface Pro,https://www.officedepot.com/catalog/search.do?Ntt=microsoft+surface+pro&cm_sp=technology-_-microsoft_surface-pro_-_-brand_surface-desktop_main_7_0_0&promo_name=technology&promo_id=technology-microsoft-surface-pro&promo_creative=microsoft_surface-pro&promo_position=brand_surface-desktop_main_7_0_0,"Microsoft Surface Pro 7 Tablet, 12.3"" Touchscreen, 8GB RAM, 128GB HD, Windows 10..."
1632252011-222,https://www.officedepot.com/cm/brand/surface,Shop Surface Pro,https://www.officedepot.com/catalog/search.do?Ntt=microsoft+surface+pro&cm_sp=technology-_-microsoft_surface-pro_-_-brand_surface-desktop_main_7_0_0&promo_name=technology&promo_id=technology-microsoft-surface-pro&promo_creative=microsoft_surface-pro&promo_position=brand_surface-desktop_main_7_0_0,Microsoft 365 Business Standard
1632252011-406,https://www.officedepot.com/cm/brand/surface,Shop Surface Pro,https://www.officedepot.com/catalog/search.do?Ntt=microsoft+surface+pro&cm_sp=technology-_-microsoft_surface-pro_-_-brand_surface-desktop_main_7_0_0&promo_name=technology&promo_id=technology-microsoft-surface-pro&promo_creative=microsoft_surface-pro&promo_position=brand_surface-desktop_main_7_0_0,Microsoft Surface Arc Mouse - Wireless - Bluetooth - Light Gray0.0 out of 5 stars.
1632252044-442,https://www.officedepot.com/cm/brand/surface,Shop Surface Laptop,https://www.officedepot.com/catalog/search.do?Ntt=microsoft+surface+laptop&cm_sp=technology-_-microsoft_surface-laptop_-_-brand_surface-desktop_main_4_0_0&promo_name=technology&promo_id=technology-microsoft-surface-laptop&promo_creative=microsoft_surface-laptop&promo_position=brand_surface-desktop_main_4_0_0,"Line Microsoft Surface Laptop 4 13.5"" Touchscreen Notebook - 2256 x 1504 - Intel...0.0 out of 5 stars."
1632252011-380,https://www.officedepot.com/cm/brand/surface,Shop Surface Pro,https://www.officedepot.com/catalog/search.do?Ntt=microsoft+surface+pro&cm_sp=technology-_-microsoft_surface-pro_-_-brand_surface-desktop_main_7_0_0&promo_name=technology&promo_id=technology-microsoft-surface-pro&promo_creative=microsoft_surface-pro&promo_position=brand_surface-desktop_main_7_0_0,3M Anti-Glare Filter for Microsoft Surface Pro 3/4 - Screen protector for tablet...0.0 out of 5 stars.
