web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,name
1632372803-836,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,Switchboxes,https://www.officedepot.com/a/browse/switchboxes/N=5+536532/,C2G 2-Port HDMI Switch - Auto Switch - 1920 x 1080 - Full HD - 2 x 1 - 1 x HDMI ...5.0 out of 5 stars. 12 reviews
1632372803-839,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,Switchboxes,https://www.officedepot.com/a/browse/switchboxes/N=5+536532/,StarTech.com 2 Port VGA Auto Switch - Switch between 2 VGA signals on a single d...0.0 out of 5 stars.
1632372628-208,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Wall & Ceiling Mounts,https://www.officedepot.com/a/browse/tv-wall-and-ceiling-mounts/N=5+509464/,Thermaltake Hardware Connectivity Kit1.0 out of 5 stars. 1 review
1632372628-293,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Wall & Ceiling Mounts,https://www.officedepot.com/a/browse/tv-wall-and-ceiling-mounts/N=5+509464/,"Ergotron Neo-Flex Wall Mount for Mouse, Keyboard - White - 5 lb Load Capacity0.0 out of 5 stars."
1632372628-281,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Wall & Ceiling Mounts,https://www.officedepot.com/a/browse/tv-wall-and-ceiling-mounts/N=5+509464/,Peerless SmartMount Dedicated Flat Wall Mount0.0 out of 5 stars.
1632372628-359,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Wall & Ceiling Mounts,https://www.officedepot.com/a/browse/tv-wall-and-ceiling-mounts/N=5+509464/,StarTech.com 15U Open Frame Rack - 4 Post - 22-40 in. Adjustable Depth - 1200 lb...0.0 out of 5 stars.
1632372628-434,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Wall & Ceiling Mounts,https://www.officedepot.com/a/browse/tv-wall-and-ceiling-mounts/N=5+509464/,"Peerless Fixed Length Extension Column - Steel - 1200 lb, 600 lb0.0 out of 5 stars."
1632372803-794,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,Switchboxes,https://www.officedepot.com/a/browse/switchboxes/N=5+536532/,StarTech.com 2x1 HDMI + VGA to HDMI Converter Switch w/ Automatic and Priority S...4.0 out of 5 stars. 3 reviews
1632372628-503,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Wall & Ceiling Mounts,https://www.officedepot.com/a/browse/tv-wall-and-ceiling-mounts/N=5+509464/,StarTech.com 18U Open Frame Rack - 4 Post - 22-40 in. Adjustable Depth - 1200 lb...5.0 out of 5 stars. 1 review
1632372803-777,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,Switchboxes,https://www.officedepot.com/a/browse/switchboxes/N=5+536532/,Comprehensive Comprehensive 2 Port HDMI Switcher - 1920 x 1200 - WUXGA - 1080p2 ...
1632372628-353,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Wall & Ceiling Mounts,https://www.officedepot.com/a/browse/tv-wall-and-ceiling-mounts/N=5+509464/,"Amer Wall Mount for Keyboard, CPU, Mouse, Flat Panel Display - TAA Compliant - 2...0.0 out of 5 stars."
1632372436-36,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,Satellite Radios & Accessories   (44),https://www.officedepot.com/a/browse/satellite-radios-and-accessories/N=5+567707/,Satellite Radios,https://www.officedepot.com/a/browse/satellite-radios/N=5+567709/,Taylor Wireless Indoor and Outdoor Weather Station with Hygrometer - LCD - Weath...4.0 out of 5 stars. 3 reviews
1632372628-711,https://www.officedepot.com/a/browse/tvs-and-home-theater/N=5+509401/,TVs & Home Theater Accessories   (887),https://www.officedepot.com/a/browse/tv-and-home-theater-accessories/N=5+509458/,TV Wall & Ceiling Mounts,https://www.officedepot.com/a/browse/tv-wall-and-ceiling-mounts/N=5+509464/,StarTech.com 9U Wall-mount Rack - Open Frame - 2 Post - 18 in. Deep - Steel - Bl...0.0 out of 5 stars.
