web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
"1632139190-13079","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Invisible Office Tape","https://www.officedepot.com/a/browse/invisible-office-tape/N=5+371575/","Office Depot® Brand Invisible Tape With Dispenser, 3/4"" x 300"", Clear, Pack Of 4"
"1632138964-12915","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Double Sided Office Tape","https://www.officedepot.com/a/browse/double-sided-office-tape/N=5+526440/","Scotch® 665 Permanent Double-Sided Tape, 1/2"" x 900"", Clear4.6 out of 5 stars. 37 reviews"
"1632138988-12929","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Transparent Office Tape","https://www.officedepot.com/a/browse/transparent-office-tape/N=5+371577/","Scotch® Transparent Tape, 3/4"" x 1296"", Clear, Pack of 6 rolls4.7 out of 5 stars. 120 reviews"
"1632139054-13003","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Removable Office Tape","https://www.officedepot.com/a/browse/removable-office-tape/N=5+526441/","Koh-I-Noor Drafting Dots - Paper - Self-adhesive, Removable, Residue-free - Disp..."
"1632138988-12976","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Transparent Office Tape","https://www.officedepot.com/a/browse/transparent-office-tape/N=5+371577/","Scotch® Super-Hold Tape, 3/4"" x 1,000"", Clear, Pack Of 10 Rolls4.8 out of 5 stars. 118 reviews"
"1632138988-12972","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Transparent Office Tape","https://www.officedepot.com/a/browse/transparent-office-tape/N=5+371577/","Scotch Transparent Tape - 1/2""W - 36 yd Length x 0.50"" Width - 1"" Core - 12 / Pa...0.0 out of 5 stars."
"1632138988-12985","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Transparent Office Tape","https://www.officedepot.com/a/browse/transparent-office-tape/N=5+371577/","Scotch Transparent Tape - 3/4""W - 36 yd Length x 0.75"" Width - 1"" Core - 12 / Pa...0.0 out of 5 stars."
"1632139190-13058","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Invisible Office Tape","https://www.officedepot.com/a/browse/invisible-office-tape/N=5+371575/","Scotch® Magic™ Invisible Tape, 3/4"" x 1000"", Clear, Pack of 24 rolls"
"1632138988-12978","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Transparent Office Tape","https://www.officedepot.com/a/browse/transparent-office-tape/N=5+371577/","Scotch® Super-Hold Tape, With C18 Desktop Dispenser, 3/4"" x 1,000"", Clear, Pack ...1.0 out of 5 stars. 1 review"
"1632139054-13023","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Removable Office Tape","https://www.officedepot.com/a/browse/removable-office-tape/N=5+526441/","Tombow Mono Removable Adhesive Applicator, 0.33"" x 39.33', Clear"
"1632139190-13088","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Invisible Office Tape","https://www.officedepot.com/a/browse/invisible-office-tape/N=5+371575/","Office Depot® Brand Invisible Tape With Dispenser, 3/4"" x 600"", Pack Of 2"
"1632138964-12918","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Double Sided Office Tape","https://www.officedepot.com/a/browse/double-sided-office-tape/N=5+526440/","SKILCRAFT® Permanent-Adhesive Double-Sided Tape With Dispenser, 0.33"" x 393"", Tr...0.0 out of 5 stars."
"1632138988-12966","https://www.officedepot.com/a/browse/office-tape/N=5+371573/","Transparent Office Tape","https://www.officedepot.com/a/browse/transparent-office-tape/N=5+371577/","Scotch® Transparent Tape, 3/4"" x 1,296"", Clear4.7 out of 5 stars. 62 reviews"
