web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632438054-32401,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Epson Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50556&promo_name=ink_and_toner&promo_id=ink_and_toner-epsoninktoner-shopnow&promo_creative=ink_and_toner_epsoninktoner&promo_position=inktonerv2-banner-ad3-inktonerv2&redirect=false,"Epson® 127 DuraBrite® Ultra Cyan/Magenta/Yellow Ink Cartridges, Pack Of 3, T1275..."
1632433844-31657,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Canon Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50557&promo_name=ink_and_toner&promo_id=ink_and_toner-canoninktoner-shopnow&promo_creative=ink_and_toner_canoninktoner&promo_position=inktonerv2-banner-ad4-inktonerv2&redirect=false,"Canon CLI-8 Inkjet Cartridges, Black, Tri-Color, 8 Pack"
1632438054-32728,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Epson Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50556&promo_name=ink_and_toner&promo_id=ink_and_toner-epsoninktoner-shopnow&promo_creative=ink_and_toner_epsoninktoner&promo_position=inktonerv2-banner-ad3-inktonerv2&redirect=false,"Epson® 312 Claria® Photo Magenta Ink Cartridge, T312320-S"
1632438577-33625,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Brother Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50555&promo_name=ink_and_toner&promo_id=ink_and_toner-brotherinktoner-shopnow&promo_creative=ink_and_toner_brotherinktoner&promo_position=inktonerv2-banner-ad2-inktonerv2&redirect=false,"Brother® TN-850 High-Yield Black Toner Cartridges, Pack Of 2 Cartridges4.9 out of 5 stars. 17 reviews"
1632429335-28535,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Oki Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50562&promo_name=ink_and_toner&promo_id=ink_and_toner-panasonicinktoner-shopnow&promo_creative=ink_and_toner_panasonicinktoner&promo_position=inktonerv2-banner-ad9-inktonerv2&redirect=false,Oki Toner Cartridge - LED - 8000 Pages - Cyan - 1 Each
1632433844-31500,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Canon Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50557&promo_name=ink_and_toner&promo_id=ink_and_toner-canoninktoner-shopnow&promo_creative=ink_and_toner_canoninktoner&promo_position=inktonerv2-banner-ad4-inktonerv2&redirect=false,Canon PG-240XXL ChromaLife 100 Black Ink Cartridge (5204B001)
1632431713-30245,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Xerox Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50559&promo_name=ink_and_toner&promo_id=ink_and_toner-xeroxinktoner-shopnow&promo_creative=ink_and_toner_xeroxinktoner&promo_position=inktonerv2-banner-ad6-inktonerv2&redirect=false,Xerox Original Toner Cartridge - Cyan - Laser - High Yield - 2500 Pages - 1 Pack0.0 out of 5 stars.
1632429335-28475,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Oki Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50562&promo_name=ink_and_toner&promo_id=ink_and_toner-panasonicinktoner-shopnow&promo_creative=ink_and_toner_panasonicinktoner&promo_position=inktonerv2-banner-ad9-inktonerv2&redirect=false,Oki 30K Cyan Image Drum for C712 - LED Print Technology - 30000 - 1 Each
1632431713-30379,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Xerox Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50559&promo_name=ink_and_toner&promo_id=ink_and_toner-xeroxinktoner-shopnow&promo_creative=ink_and_toner_xeroxinktoner&promo_position=inktonerv2-banner-ad6-inktonerv2&redirect=false,Xerox Original Toner Cartridge - Laser - 24000 Pages - Black - 1 Each
1632438577-33835,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Brother Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50555&promo_name=ink_and_toner&promo_id=ink_and_toner-brotherinktoner-shopnow&promo_creative=ink_and_toner_brotherinktoner&promo_position=inktonerv2-banner-ad2-inktonerv2&redirect=false,Brother® LC71C Cyan Ink Cartridge4.5 out of 5 stars. 123 reviews
1632438577-33613,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Brother Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50555&promo_name=ink_and_toner&promo_id=ink_and_toner-brotherinktoner-shopnow&promo_creative=ink_and_toner_brotherinktoner&promo_position=inktonerv2-banner-ad2-inktonerv2&redirect=false,Brother LC3013BKS High-Yield Black Ink Cartridge4.6 out of 5 stars. 265 reviews
1632438054-32436,https://www.officedepot.com/a/ink-toner-and-ribbons/;jsessionid=0000ygG5Sa4bfak7OeMHBeoDRfP:17h4h7dc6,Epson Ink & Toner,https://www.officedepot.com/adRedir.do?ciid=50556&promo_name=ink_and_toner&promo_id=ink_and_toner-epsoninktoner-shopnow&promo_creative=ink_and_toner_epsoninktoner&promo_position=inktonerv2-banner-ad3-inktonerv2&redirect=false,Epson® 273XL/273 Claria® High-Yield Black And Photo Black And Cyan/Magenta/Yello...
