web-scraper-order,web-scraper-start-url,category,category-href,name
1632378427-1117,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,"APC® Back-UPS® BVN650M1 Battery Backup, Black4.6 out of 5 stars. 183 reviews"
1632378496-2037,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Rack-Mounted UPS,https://www.officedepot.com/a/browse/rack-mounted-ups/N=5+509511/,APC by Schneider Electric Smart-UPS X 3000VA Rack/Tower LCD 100-127V with Networ...4.8 out of 5 stars. 12 reviews
1632378427-1410,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,Tripp Lite 700VA 450W Lithium Iron Phosphate (LiFePhos) UPS Smart Tower AVR Hosp...0.0 out of 5 stars.
1632378427-1138,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,Tripp Lite SmartPro 2200VA 1920W UPS Smart Lithium Ion LiFePO4 LCD USB DB9 120V ...0.0 out of 5 stars.
1632378496-2101,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Rack-Mounted UPS,https://www.officedepot.com/a/browse/rack-mounted-ups/N=5+509511/,CyberPower OL8K10KRT3UTF - Transformer (rack-mountable / external) - AC 208 V - ...
1632378427-1195,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,CyberPower 2200VA/1320W Sinewave UPS System with Power Factor Correction0.0 out of 5 stars.
1632378427-1341,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,CyberPower PFC SineWave Series CP1350PFCLCD 10-Outlet Uninterruptible Power Supp...
1632378427-1358,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,"CyberPower CP1500PFCLCDTAA TAA Intelligent Compliant UPS Systems - 1500VA/900W, ...0.0 out of 5 stars."
1632378427-1355,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,APC by Schneider Electric Back-UPS RS BR1500GI 1500VA Tower UPS - Tower - 8 Hour...4.6 out of 5 stars. 135 reviews
1632378496-1979,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Rack-Mounted UPS,https://www.officedepot.com/a/browse/rack-mounted-ups/N=5+509511/,Tripp Lite UPS Smart Online 3000VA 2400W Rackmount 208V / 240V DB9 Preinstalled ...0.0 out of 5 stars.
1632378427-1337,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,Tripp Lite UPS Smart 1000VA 750W Tower Hospital Medical AVR 120V USB DB9 - 1000V...
1632378496-1973,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Rack-Mounted UPS,https://www.officedepot.com/a/browse/rack-mounted-ups/N=5+509511/,Vertiv Liebert GXT5 UPS - 750VA/750W 120V | Online Rack Tower Energy Star - Doub...0.0 out of 5 stars.
1632378427-1162,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,"CyberPower® CP685AVR Uninterruptible Power Supply, 8 Outlets, 685VA/390 Watt0.0 out of 5 stars."
1632378427-1289,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,Tripp Lite 1000VA 600W UPS Battery Back Up Tower AVR 8 C13 230V USB LCD - Tower ...0.0 out of 5 stars.
1632378427-1364,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,Tripp Lite UPS Smart Online 16000VA 14400W Rackmount 16kVA 208/240 Manual Bypass...0.0 out of 5 stars.
1632378496-1999,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Rack-Mounted UPS,https://www.officedepot.com/a/browse/rack-mounted-ups/N=5+509511/,APC by Schneider Electric Smart-UPS SMX1000I 1000 VA Tower/Rack Mountable UPS - ...0.0 out of 5 stars.
1632378427-1216,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,CyberPower 1500VA/900W Sinewave UPS System with Power Factor Correction4.0 out of 5 stars. 2 reviews
1632378496-2064,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Rack-Mounted UPS,https://www.officedepot.com/a/browse/rack-mounted-ups/N=5+509511/,Tripp Lite Smart Online UPS 3000VA 2700W 208/120V Step-Down Transformer 4U - 4U ...0.0 out of 5 stars.
1632378427-1329,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,Tripp Lite 10kVA 9kW Smart Online UPS 120/208V Double Conversion 10URM TAA - 10U...
1632378427-1299,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,Vertiv Liebert PSA5 UPS - 500VA/300W 120V | Line Interactive AVR Tower UPS - Bat...0.0 out of 5 stars.
1632378496-1956,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Rack-Mounted UPS,https://www.officedepot.com/a/browse/rack-mounted-ups/N=5+509511/,APC by Schneider Electric Smart-UPS 3000VA Rack-mountable UPS - 3 Hour Recharge ...0.0 out of 5 stars.
1632378427-1211,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Standalone UPS,https://www.officedepot.com/a/browse/standalone-ups/N=5+509512/,Tripp Lite UPS Smart 2200VA 1700W Tower AVR 120V XL DB9 for Servers - Tower - 4 ...5.0 out of 5 stars. 5 reviews
1632378496-1967,https://www.officedepot.com/a/browse/ups-battery-backup/N=5+509510/,Rack-Mounted UPS,https://www.officedepot.com/a/browse/rack-mounted-ups/N=5+509511/,Minuteman 3000 VA Line Interactive Rack/Wall/Tower UPS with 8 Outlets - 2U Wall ...0.0 out of 5 stars.
