web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
1632112674-178,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Custom Address Labels,https://www.officedepot.com/a/browse/custom-address-labels/N=5+1212302/?cm_sp=copy_print_depot-_-labelsstickerscustomaddress_cpd_-_-category_labels-and-stickers--1212299_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickerscustomaddress-cpd&promo_creative=labelsstickerscustomaddress_cpd&promo_position=category_labels-and-stickers--1212299_main_1_3_0,"Personalized Rolled Address Labels, 2-1/2"" x 3/4"", Gold, Roll of 2505.0 out of 5 stars. 3 reviews"
1632112674-204,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Custom Address Labels,https://www.officedepot.com/a/browse/custom-address-labels/N=5+1212302/?cm_sp=copy_print_depot-_-labelsstickerscustomaddress_cpd_-_-category_labels-and-stickers--1212299_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickerscustomaddress-cpd&promo_creative=labelsstickerscustomaddress_cpd&promo_position=category_labels-and-stickers--1212299_main_1_3_0,"Custom Address Labels, 2-1/2"" x 3/4"", Proud Of Our Soldiers, Pack Of 144 Labels0.0 out of 5 stars."
1632112586-4,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Foil Stamped Labels,https://www.officedepot.com/a/browse/foil-stamped-labels/N=5+1212305/?cm_sp=copy_print_depot-_-labelsstickersfoilstamped_cpd_-_-category_labels-and-stickers--1212299_main_1_7_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersfoilstamped-cpd&promo_creative=labelsstickersfoilstamped_cpd&promo_position=category_labels-and-stickers--1212299_main_1_7_0,"Custom Printed 1-Color Foil Stamped Labels And Stickers, 2"" Round Circle, Box of...0.0 out of 5 stars."
1632112751-352,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom Blind-Embossed Labels And Stickers, Foil Stock, 2"" x 3"" Rectangle, Box Of...0.0 out of 5 stars."
1632112674-208,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Custom Address Labels,https://www.officedepot.com/a/browse/custom-address-labels/N=5+1212302/?cm_sp=copy_print_depot-_-labelsstickerscustomaddress_cpd_-_-category_labels-and-stickers--1212299_main_1_3_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickerscustomaddress-cpd&promo_creative=labelsstickerscustomaddress_cpd&promo_position=category_labels-and-stickers--1212299_main_1_3_0,"Custom Address Labels, 2-1/2"" x 3/4"", Brave And Free, Pack Of 144 Labels0.0 out of 5 stars."
1632112565-2,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Bumper Stickers,https://www.officedepot.com/a/browse/bumper-stickers/N=5+1212301/?cm_sp=copy_print_depot-_-labelsstickersbumperstickers_cpd_-_-category_labels-and-stickers--1212299_main_1_8_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersbumperstickers-cpd&promo_creative=labelsstickersbumperstickers_cpd&promo_position=category_labels-and-stickers--1212299_main_1_8_0,"Custom 1-Color Oval Bumper Stickers, 4"" x 6"", Pack Of 125 Stickers0.0 out of 5 stars."
1632112586-8,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,Foil Stamped Labels,https://www.officedepot.com/a/browse/foil-stamped-labels/N=5+1212305/?cm_sp=copy_print_depot-_-labelsstickersfoilstamped_cpd_-_-category_labels-and-stickers--1212299_main_1_7_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickersfoilstamped-cpd&promo_creative=labelsstickersfoilstamped_cpd&promo_position=category_labels-and-stickers--1212299_main_1_7_0,"Custom Printed 1-Color Foil Stamped Labels And Stickers, 2"" x 3"" Rectangle, Box ...0.0 out of 5 stars."
1632112751-420,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom 2-Color Laser Sheet Labels And Stickers, 3-1/4"" x 4"" Rectangle, 6 Labels ...0.0 out of 5 stars."
1632112751-357,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom 1-Color Advertising Labels, Rectangle, 3/4"" x 2"", Roll Of 250 Labels0.0 out of 5 stars."
1632112751-268,https://www.officedepot.com/a/browse/labels-and-stickers/N=5+1212299/,1-3 Color Labels & Stickers,https://www.officedepot.com/a/browse/1-3-color-labels-and-stickers/N=5+1212300/?cm_sp=copy_print_depot-_-labelsstickers13color_cpd_-_-category_labels-and-stickers--1212299_main_1_1_0&promo_name=copy_print_depot&promo_id=copy_print_depot-labelsstickers13color-cpd&promo_creative=labelsstickers13color_cpd&promo_position=category_labels-and-stickers--1212299_main_1_1_0,"Custom 1-Color Advertising Labels, Rectangle, 1"" x 1-1/2"", Roll Of 250 Labels0.0 out of 5 stars."
