web-scraper-order,web-scraper-start-url,nn1
1631294113-14,https://www.officedepot.com/a/browse/correction-pens/N=5+4410/,"Pentel® Presto!™ Jumbo Correction Pen, Fine Point, 12 ml4.8 out of 5 stars. 51 reviews"
1631294113-13,https://www.officedepot.com/a/browse/correction-pens/N=5+4410/,"BIC® Wite-Out® Shake 'N Squeeze™ Correction Pen, 8 ml, White, Pack Of 24.4 out of 5 stars. 414 reviews"
1631294113-16,https://www.officedepot.com/a/browse/correction-pens/N=5+4410/,BIC® Wite-Out® Shake 'N Squeeze™ Pocket Correction Pen5.0 out of 5 stars. 4 reviews
1631294113-15,https://www.officedepot.com/a/browse/correction-pens/N=5+4410/,"Liquid Paper® All-Purpose Correction Pen, 7 mL3.8 out of 5 stars. 15 reviews"
