web-scraper-order,web-scraper-start-url,cat,cat-href,subcat,subcat-href,name
1632432344-30779,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand Reclosable 2-mil Poly Bags, 5"" x 15"", Clear, Case Of 1,0000.0 out of 5 stars."
1632429966-28919,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Notebooks & Pads,https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+531006/,Spiral & Wireless Notebooks,https://www.officedepot.com/a/browse/spiral-and-wireless-notebooks/N=5+531010/,"Office Depot® Brand Spiral Stellar Poly Notebook, 9"" x 11"", 5 Subject, College R..."
1632438466-33144,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,Expanding File Folders,https://www.officedepot.com/a/browse/expanding-file-folders/N=5+7211/,"Office Depot® Brand Poly Snap Document Files, Clear, Pack Of 54.8 out of 5 stars. 81 reviews"
1632432344-30840,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand Parts Bags With Hang Holes, 12"" x 18"", Clear/White, Case Of ...0.0 out of 5 stars."
1632432344-31010,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand 2 Mil Flat Poly Bags 26"" x 42"", Box of 250"
1632438444-33025,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,File Folders,https://www.officedepot.com/a/browse/file-folders/N=5+7238/,"Office Depot® Brand Fashion 2-Pocket Poly Folder, 8-1/2"" x 11"", Car"
1632434852-32357,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,Hanging File Folders,https://www.officedepot.com/a/browse/hanging-file-folders/N=5+7301/,"Office Depot® Brand Hanging Folders, 15 3/4"" x 9 3/8"", Legal Size, Blue, Box Of ..."
1632433990-31970,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Binders & Accessories,https://www.officedepot.com/a/browse/binders-and-accessories/N=5+6470/,Binders,https://www.officedepot.com/a/browse/binders/N=5+1035700/,"Just Basics® Economy Nonview 3-Ring Binder, 2"" Round Rings, 41% Recycled, Black"
1632430227-29178,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Notebooks & Pads,https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+531006/,Composition Books,https://www.officedepot.com/a/browse/composition-books/N=5+531007/,"Office Depot® Brand Primary Composition Book, 7-1/2"" x 9-3/4"", Unruled/Primary R...4.9 out of 5 stars. 212 reviews"
1632438444-32864,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,File Folders,https://www.officedepot.com/a/browse/file-folders/N=5+7238/,"Office Depot® Brand Manila Fastener Folders, 2 Fasteners, Straight Cut, Legal Si..."
1632438444-33006,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,File Folders,https://www.officedepot.com/a/browse/file-folders/N=5+7238/,"Office Depot® Brand Heavy-Duty File Pockets, 5 1/4"" Expansion, Letter Size, Brow..."
1632432374-31383,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Packing Tape,https://www.officedepot.com/a/browse/packing-tape/N=5+530257/,"Office Depot® Brand Vinyl Tape Applicator, Black/Yellow"
1632432344-31279,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand 2-Mil Flat Poly Bags, 8"" x 24"", Case Of 1,000"
1632432374-31382,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Packing Tape,https://www.officedepot.com/a/browse/packing-tape/N=5+530257/,"Office Depot® Brand Moving & Shipping Tape With Dispenser, 1.89"" x 30 Yd., C..."
