web-scraper-order,web-scraper-start-url,category,category-href,suncat,suncat-href,name
1632289537-875,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Small Business Finance Software,https://www.officedepot.com/a/browse/small-business-finance-software/N=5+1462082/,Sage 50cloud Premium Accounting 2021 U.S. 3-User One Year Subscription (Windows)0.0 out of 5 stars.
1632289537-844,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Small Business Finance Software,https://www.officedepot.com/a/browse/small-business-finance-software/N=5+1462082/,My  Invoices & Estimates Deluxe (Windows)1.0 out of 5 stars. 1 review
1632289737-1076,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Utilities Software,https://www.officedepot.com/a/browse/utilities-software/N=5+1462061/,"PCmover Ultimate 1 Use, Download and Traditional Disc3.8 out of 5 stars. 50 reviews"
1632289656-1001,https://www.officedepot.com/a/browse/software/N=5+1462054/,Business Software,https://www.officedepot.com/a/browse/business-software/N=5+1462062/,Voice Recognition Software,https://www.officedepot.com/a/browse/voice-recognition-software/N=5+1462067/,Nuance® Dragon® NaturallySpeaking® Professional Individual 155.0 out of 5 stars. 1 review
1632289392-711,https://www.officedepot.com/a/browse/software/N=5+1462054/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462084/,Home Design Software,https://www.officedepot.com/a/browse/home-design-software/N=5+1462088/,Punch!® Home And Landscape Design Premium Version 201.0 out of 5 stars. 1 review
1632289824-1200,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Antivirus Software,https://www.officedepot.com/a/browse/antivirus-software/N=5+1462056/,"McAfee® Small Business Security, 5 Devices, 1 Year Subscriptions, Download5.0 out of 5 stars. 1 review"
1632289615-979,https://www.officedepot.com/a/browse/software/N=5+1462054/,Editing Software,https://www.officedepot.com/a/browse/editing-software/N=5+1462071/,Photo Editing Software,https://www.officedepot.com/a/browse/photo-editing-software/N=5+1462073/,Corel Painter 20210.0 out of 5 stars.
1632289673-1007,https://www.officedepot.com/a/browse/software/N=5+1462054/,Business Software,https://www.officedepot.com/a/browse/business-software/N=5+1462062/,Document Management,https://www.officedepot.com/a/browse/document-management/N=5+1462063/,"Adobe® Acrobat® Professional DC, 1-Year Subscription, Download3.7 out of 5 stars. 6 reviews"
1632289709-1044,https://www.officedepot.com/a/browse/software/N=5+1462054/,Business Software,https://www.officedepot.com/a/browse/business-software/N=5+1462062/,Microsoft Office Software,https://www.officedepot.com/a/browse/microsoft-office-software/N=5+1462064/,"Microsoft Office Home and Student 2019, For 1 PC/Mac®, Download4.1 out of 5 stars. 44 reviews"
1632289463-767,https://www.officedepot.com/a/browse/software/N=5+1462054/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462084/,CAD Design Software,https://www.officedepot.com/a/browse/cad-design-software/N=5+1462085/,Corel CAD 2021 Education Edition0.0 out of 5 stars.
